"OBJECTID","VegUnite","ecosite1","GeneralizedStateNumber"
37,"PLMU3,SCBR2,FLCE","Clayey",2
38,"PLMU3,SCBR2,PRGL2","Clayey",4
41,"PRGL2,PLMU3,SCBR2","Clayey",4
133,"LATR2,FLCE,MUPO2","Gravelly",5
137,"LATR2,FLCE,MUPO2","Gravelly",5
177,"BOER4,SPFL2,PRGL2","Sandy",1
208,"PRGL2,SPFL2,YUEL","Sandy",2
225,"PRGL2,GUSA2,YUEL","Sandy",2
232,"PRGL2,SPFL2,YUEL","Sandy",2
252,"SPFL2,GUSA2,PRGL2","Sandy",2
257,"BOER4,PRGL2,YUEL","Sandy",1
258,"BOER4,SPFL2,PRGL2","Sandy",1
267,"PRGL2,SPFL2,YUEL","Sandy",2
277,"PRGL2,GUSA2,YUEL","Sandy",2
280,"SPFL2,GUSA2,PRGL2","Sandy",2
297,"PLMU3,SCBR2,PRGL2","Sandy",4
321,"PLMU3,SCBR2,FLCE","Sandy",2
341,"PRGL2,SPFL2,YUEL","Sandy",2
354,"PRGL2,FLCE,LATR2","Sandy",4
359,"PRGL2,SPFL2,YUEL","Sandy",2
387,"SPFL2,GUSA2,PRGL2","Sandy",2
390,"BOER4,ARPU9,YUEL","Sandy",1
391,"BOER4,PRGL2,YUEL","Sandy",1
393,"BOER4,SPFL2,PRGL2","Sandy",1
417,"BOER4,PRGL2,YUEL","Shallow sandy",1
418,"BOER4,SPFL2,PRGL2","Shallow sandy",1
423,"PRGL2,SPFL2,YUEL","Shallow sandy",2
431,"PRGL2,SPFL2,YUEL","Shallow sandy",2
15,"PLMU3,FLCE,PRGL2","Bottomland",1
16,"PLMU3,FLCE,PRGL2","Bottomland",1
17,"PLMU3,FLCE,PRGL2","Bottomland",1
18,"PRGL2,BOER4,PF","Bottomland",2
19,"PRGL2,BOER4,PF","Bottomland",2
20,"PRGL2,BOER4,PF","Bottomland",2
21,"PRGL2,BOER4,PF","Bottomland",2
24,"FLCE,LYBE,SCBR2","Clayey",2
25,"FLCE,LYBE,SCBR2","Clayey",2
26,"FLCE,LYBE,SCBR2","Clayey",2
27,"FLCE,LYBE,SCBR2","Clayey",2
28,"FLCE,LYBE,SCBR2","Clayey",2
30,"LATR2,MUPO2,PLMU3","Clayey",2
31,"LATR2,MUPO2,PLMU3","Clayey",2
32,"LATR2,MUPO2,PLMU3","Clayey",2
33,"PLMU3","Clayey",1
34,"PLMU3","Clayey",1
35,"PLMU3","Clayey",1
36,"PLMU3","Clayey",1
39,"PLMU3","Clayey",1
52,"SCBR2,PLMU3,PRGL2","Clayey",1
53,"SCBR2,PLMU3,PRGL2","Clayey",1
54,"SCBR2,PLMU3,PRGL2","Clayey",1
57,"PRGL2,PSSC6,MUPO2","Deep sand",2
58,"PRGL2,PSSC6,MUPO2","Deep sand",2
59,"PRGL2,PSSC6,MUPO2","Deep sand",2
73,"PRGL2,PSSC6,MUPO2","Deep sand",2
74,"PRGL2,PSSC6,MUPO2","Deep sand",2
75,"PRGL2,PSSC6,MUPO2","Deep sand",2
76,"PRGL2,PSSC6,MUPO2","Deep sand",2
77,"PRGL2,PSSC6,MUPO2","Deep sand",2
78,"PRGL2,PSSC6,MUPO2","Deep sand",2
79,"PRGL2,PSSC6,MUPO2","Deep sand",2
80,"PRGL2,PSSC6,MUPO2","Deep sand",2
81,"PRGL2,PSSC6,MUPO2","Deep sand",2
82,"PRGL2,PSSC6,MUPO2","Deep sand",2
83,"PRGL2,PSSC6,MUPO2","Deep sand",2
84,"PRGL2,PSSC6,MUPO2","Deep sand",2
86,"PRGL2,PSSC6,MUPO2","Deep sand",2
87,"PRGL2,PSSC6,MUPO2","Deep sand",2
88,"PRGL2,PSSC6,MUPO2","Deep sand",2
89,"PRGL2,PSSC6,MUPO2","Deep sand",2
90,"PRGL2,PSSC6,MUPO2","Deep sand",2
91,"PRGL2,PSSC6,MUPO2","Deep sand",2
