"FID","Shape..","OBJECTID","FID_JERVeg","VegUnite","ZST_DOM","ZND_DOM","ZRD_DOM","SUM_Shape_","FID_JER_Ec","ecosite1","SUM_Shape1","Shape_Leng","Shape_Area","FGUnite","Dom1FG","Dom2FG","Dom3FG"
"0","Polygon","1","1","ARFI2,GUSA2,","ARFI2","GUSA2","","1299656.061","3","Deep sand","119701060","3024.231736","439863.4068","shrub,subshrub","shrub","subshrub",NA
"1","Polygon","2","1","ARFI2,GUSA2,","ARFI2","GUSA2","","1299656.061","11","Sandy","368111095.6","3963.200951","859792.6558","shrub,subshrub","shrub","subshrub",NA
"2","Polygon","3","2","ARIST,BOER4,PRGL2","ARIST","BOER4","PRGL2","73784.5166","11","Sandy","368111095.6","1202.621687","73784.5166","PG,PG,shrub","PG","PG","shrub"
"3","Polygon","4","3","ARIST,BOER4,SPORO","ARIST","BOER4","SPORO","32020213.01","3","Deep sand","119701060","16485.98206","2926929.507","PG,PG,PG","PG","PG","PG"
"4","Polygon","5","3","ARIST,BOER4,SPORO","ARIST","BOER4","SPORO","32020213.01","11","Sandy","368111095.6","96059.62156","21907938.19","PG,PG,PG","PG","PG","PG"
"5","Polygon","6","3","ARIST,BOER4,SPORO","ARIST","BOER4","SPORO","32020213.01","13","Shallow sandy","25426676.89","34037.35437","7185345.309","PG,PG,PG","PG","PG","PG"
"6","Polygon","7","4","ARIST,BOER4,YUEL","ARIST","BOER4","YUEL","657493.5963","3","Deep sand","119701060","2287.633102","276857.9242","PG,PG,succulent","PG","PG","succulent"
"7","Polygon","8","4","ARIST,BOER4,YUEL","ARIST","BOER4","YUEL","657493.5963","11","Sandy","368111095.6","2675.364018","380635.6713","PG,PG,succulent","PG","PG","succulent"
"8","Polygon","9","5","ARIST,GUSA2,BOER4","ARIST","GUSA2","BOER4","689245.529","11","Sandy","368111095.6","3325.111178","689245.529","PG,subshrub,PG","PG","subshrub","PG"
"9","Polygon","10","6","BOER4,ARIST,","BOER4","ARIST","","75032717.77","2","Clayey","13244532.45","1319.186652","98172.45282","PG,PG","PG","PG",NA
"10","Polygon","11","6","BOER4,ARIST,","BOER4","ARIST","","75032717.77","3","Deep sand","119701060","25968.91314","5112284.215","PG,PG","PG","PG",NA
"11","Polygon","12","6","BOER4,ARIST,","BOER4","ARIST","","75032717.77","11","Sandy","368111095.6","147895.5248","55419608.92","PG,PG","PG","PG",NA
"12","Polygon","13","6","BOER4,ARIST,","BOER4","ARIST","","75032717.77","13","Shallow sandy","25426676.89","48983.98191","14300329.42","PG,PG","PG","PG",NA
"13","Polygon","14","7","BOER4,ARIST,DAPU7","BOER4","ARIST","DAPU7","1112326.695","11","Sandy","368111095.6","6252.538909","1112326.695","PG,PG,PG","PG","PG","PG"
"14","Polygon","15","8","BOER4,ARIST,GUSA2","BOER4","ARIST","GUSA2","499627.7421","2","Clayey","13244532.45","1527.403218","74884.07609","PG,PG,subshrub","PG","PG","subshrub"
"15","Polygon","16","8","BOER4,ARIST,GUSA2","BOER4","ARIST","GUSA2","499627.7421","11","Sandy","368111095.6","2990.09226","424743.6666","PG,PG,subshrub","PG","PG","subshrub"
"16","Polygon","17","9","BOER4,ARIST,MUAR","BOER4","ARIST","MUAR","7556672.314","11","Sandy","368111095.6","19117.93167","7556672.314","PG,PG,PG","PG","PG","PG"
"17","Polygon","18","10","BOER4,ARIST,PRGL2","BOER4","ARIST","PRGL2","1188520.863","2","Clayey","13244532.45","1610.150605","111131.1024","PG,PG,shrub","PG","PG","shrub"
"18","Polygon","19","10","BOER4,ARIST,PRGL2","BOER4","ARIST","PRGL2","1188520.863","3","Deep sand","119701060","1162.941834","67856.32138","PG,PG,shrub","PG","PG","shrub"
"19","Polygon","20","10","BOER4,ARIST,PRGL2","BOER4","ARIST","PRGL2","1188520.863","11","Sandy","368111095.6","9042.012456","1009533.438","PG,PG,shrub","PG","PG","shrub"
"20","Polygon","21","11","BOER4,ARIST,SPORO","BOER4","ARIST","SPORO","2299034.329","11","Sandy","368111095.6","13858.60396","2299034.329","PG,PG,PG","PG","PG","PG"
"21","Polygon","22","12","BOER4,ARIST,YUEL","BOER4","ARIST","YUEL","1480520.303","11","Sandy","368111095.6","13389.68592","1480520.303","PG,PG,succulent","PG","PG","succulent"
"22","Polygon","23","13","BOER4,EPHspp,LATR2","BOER4","EPHspp","LATR2","2387981.267","5","Gravelly","53527326.23","10502.43647","1468246.328","PG,succulent,shrub","PG","succulent","shrub"
"23","Polygon","24","13","BOER4,EPHspp,LATR2","BOER4","EPHspp","LATR2","2387981.267","9","Rock land","738872.7837","2759.123621","356266.9459","PG,succulent,shrub","PG","succulent","shrub"
"24","Polygon","25","15","BOER4,MUAR,SCBR2","BOER4","MUAR","SCBR2","1493129.891","11","Sandy","368111095.6","10603.78803","1493129.891","PG,PG,PG","PG","PG","PG"
"25","Polygon","26","16","BOER4,PRGL2,YUEL","BOER4","PRGL2","YUEL","17566071.13","2","Clayey","13244532.45","1229.790573","73451.54398","PG,shrub,succulent","PG","shrub","succulent"
"26","Polygon","27","16","BOER4,PRGL2,YUEL","BOER4","PRGL2","YUEL","17566071.13","3","Deep sand","119701060","13746.2995","3602045.061","PG,shrub,succulent","PG","shrub","succulent"
"27","Polygon","28","16","BOER4,PRGL2,YUEL","BOER4","PRGL2","YUEL","17566071.13","11","Sandy","368111095.6","45521.47225","13890574.56","PG,shrub,succulent","PG","shrub","succulent"
"28","Polygon","29","17","BOER4,SCBR2,FLCE","BOER4","SCBR2","FLCE","1130730.705","11","Sandy","368111095.6","4846.040577","1130730.705","PG,PG,shrub","PG","PG","shrub"
"29","Polygon","30","18","BOER4,YUEL,ARIST","BOER4","YUEL","ARIST","419809.7268","11","Sandy","368111095.6","1352.559632","98161.24177","PG,succulent,PG","PG","succulent","PG"
"30","Polygon","31","18","BOER4,YUEL,ARIST","BOER4","YUEL","ARIST","419809.7268","13","Shallow sandy","25426676.89","2497.229603","321648.4848","PG,succulent,PG","PG","succulent","PG"
"31","Polygon","32","19","BOER4,YUEL,SPORO","BOER4","YUEL","SPORO","213448.7135","11","Sandy","368111095.6","2117.426358","213448.7135","PG,succulent,PG","PG","succulent","PG"
"32","Polygon","33","20","EPHspp,PLMU3,GUSA2","EPHspp","PLMU3","GUSA2","740846.0034","2","Clayey","13244532.45","2050.823532","99926.3085","succulent,PG,subshrub","succulent","PG","subshrub"
"33","Polygon","34","20","EPHspp,PLMU3,GUSA2","EPHspp","PLMU3","GUSA2","740846.0034","11","Sandy","368111095.6","4254.390901","640919.695","succulent,PG,subshrub","succulent","PG","subshrub"
"34","Polygon","35","21","FLCE,LATR2,ATCA2","FLCE","LATR2","ATCA2","189781.284","11","Sandy","368111095.6","1900.249623","189781.284","shrub,shrub,shrub","shrub","shrub","shrub"
"35","Polygon","36","22","FLCE,LATR2,BOER4","FLCE","LATR2","BOER4","25681083.11","1","Bottomland","35299777.56","99991.11077","7669532.904","shrub,shrub,PG","shrub","shrub","PG"
"36","Polygon","37","22","FLCE,LATR2,BOER4","FLCE","LATR2","BOER4","25681083.11","4","Draw","6092080.685","1225.74926","27157.8845","shrub,shrub,PG","shrub","shrub","PG"
"37","Polygon","38","22","FLCE,LATR2,BOER4","FLCE","LATR2","BOER4","25681083.11","5","Gravelly","53527326.23","33854.59643","4774005.152","shrub,shrub,PG","shrub","shrub","PG"
"38","Polygon","39","22","FLCE,LATR2,BOER4","FLCE","LATR2","BOER4","25681083.11","7","Limestone hills","125520706.8","2747.656439","185542.8822","shrub,shrub,PG","shrub","shrub","PG"
"39","Polygon","40","22","FLCE,LATR2,BOER4","FLCE","LATR2","BOER4","25681083.11","8","Loamy","15362815.09","70796.64467","9383733.258","shrub,shrub,PG","shrub","shrub","PG"
"40","Polygon","41","22","FLCE,LATR2,BOER4","FLCE","LATR2","BOER4","25681083.11","11","Sandy","368111095.6","10257.23214","3478401.666","shrub,shrub,PG","shrub","shrub","PG"
"41","Polygon","42","23","FLCE,LATR2,GUSA2","FLCE","LATR2","GUSA2","242713.8897","3","Deep sand","119701060","2411.510472","242713.8897","shrub,shrub,subshrub","shrub","shrub","subshrub"
