FID,OBJECTID,VegUnite,ZST_DOM,ZND_DOM,ZRD_DOM,ecosite1,FGUnite,Dom1FG,Dom2FG,Dom3FG,esite1type,GSC
86,87,"HOFF spp.,Bare,",HOFF spp.,Bare,,Clayey,"forb,Bare",forb,Bare,NA,1,7
87,88,"HOFF spp.,Bare,",HOFF spp.,Bare,,Sandy,"forb,Bare",forb,Bare,NA,1,7
43,44,"FLCE,LATR2,PRGL2",FLCE,LATR2,PRGL2,Bottomland,"shrub,shrub,shrub",shrub,shrub,shrub,1,6
78,79,"GUSA2,PRGL2,PSSC6",GUSA2,PRGL2,PSSC6,Clayey,"subshrub,shrub,shrub",subshrub,shrub,shrub,1,6
142,143,"PRGL2,GUSA2,",PRGL2,GUSA2,,Clayey,"shrub,subshrub",shrub,subshrub,NA,1,6
45,46,"FLCE,LATR2,PRGL2",FLCE,LATR2,PRGL2,Draw,"shrub,shrub,shrub",shrub,shrub,shrub,1,6
52,53,"FLCE,LATR2,SPORO",FLCE,LATR2,SPORO,Draw,"shrub,shrub,PG",shrub,shrub,PG,1,6
102,103,"LATR2,FLCE,PRGL2",LATR2,FLCE,PRGL2,Draw,"shrub,shrub,shrub",shrub,shrub,shrub,1,6
127,128,"PRGL2,ARFI2,GUSA2",PRGL2,ARFI2,GUSA2,Draw,"shrub,shrub,subshrub",shrub,shrub,subshrub,1,6
132,133,"PRGL2,ATCA2,ARFI2",PRGL2,ATCA2,ARFI2,Draw,"shrub,shrub,shrub",shrub,shrub,shrub,1,6
135,136,"PRGL2,ATCA2,GUSA2",PRGL2,ATCA2,GUSA2,Draw,"shrub,shrub,subshrub",shrub,shrub,subshrub,1,6
146,147,"PRGL2,GUSA2,ARFI2",PRGL2,GUSA2,ARFI2,Draw,"shrub,subshrub,shrub",shrub,subshrub,shrub,1,6
155,156,"PRGL2,GUSA2,LATR2",PRGL2,GUSA2,LATR2,Draw,"shrub,subshrub,shrub",shrub,subshrub,shrub,1,6
165,166,"PRGL2,LATR2,GUSA2",PRGL2,LATR2,GUSA2,Draw,"shrub,shrub,subshrub",shrub,shrub,subshrub,1,6
48,49,"FLCE,LATR2,PRGL2",FLCE,LATR2,PRGL2,Loamy,"shrub,shrub,shrub",shrub,shrub,shrub,1,6
98,99,"LATR2,FLCE,GUSA2",LATR2,FLCE,GUSA2,Loamy,"shrub,shrub,subshrub",shrub,shrub,subshrub,1,6
104,105,"LATR2,FLCE,PRGL2",LATR2,FLCE,PRGL2,Loamy,"shrub,shrub,shrub",shrub,shrub,shrub,1,6
1,2,"ARFI2,GUSA2,",ARFI2,GUSA2,,Sandy,"shrub,subshrub",shrub,subshrub,NA,1,6
34,35,"FLCE,LATR2,ATCA2",FLCE,LATR2,ATCA2,Sandy,"shrub,shrub,shrub",shrub,shrub,shrub,1,6
49,50,"FLCE,LATR2,PRGL2",FLCE,LATR2,PRGL2,Sandy,"shrub,shrub,shrub",shrub,shrub,shrub,1,6
71,72,"GUSA2,PRGL2,",GUSA2,PRGL2,,Sandy,"subshrub,shrub",subshrub,shrub,NA,1,6
80,81,"GUSA2,PRGL2,PSSC6",GUSA2,PRGL2,PSSC6,Sandy,"subshrub,shrub,shrub",subshrub,shrub,shrub,1,6
83,84,"GUSA2,YUEL,",GUSA2,YUEL,,Sandy,"subshrub,succulent",subshrub,succulent,NA,1,6
99,100,"LATR2,FLCE,GUSA2",LATR2,FLCE,GUSA2,Sandy,"shrub,shrub,subshrub",shrub,shrub,subshrub,1,6
105,106,"LATR2,FLCE,PRGL2",LATR2,FLCE,PRGL2,Sandy,"shrub,shrub,shrub",shrub,shrub,shrub,1,6
110,111,"LATR2,GUSA2,ARFI2",LATR2,GUSA2,ARFI2,Sandy,"shrub,subshrub,shrub",shrub,subshrub,shrub,1,6
125,126,"PRGL2,ARFI2,EPHspp",PRGL2,ARFI2,EPHspp,Sandy,"shrub,shrub,succulent",shrub,shrub,succulent,1,6
129,130,"PRGL2,ARFI2,GUSA2",PRGL2,ARFI2,GUSA2,Sandy,"shrub,shrub,subshrub",shrub,shrub,subshrub,1,6
133,134,"PRGL2,ATCA2,ARFI2",PRGL2,ATCA2,ARFI2,Sandy,"shrub,shrub,shrub",shrub,shrub,shrub,1,6
136,137,"PRGL2,ATCA2,GUSA2",PRGL2,ATCA2,GUSA2,Sandy,"shrub,shrub,subshrub",shrub,shrub,subshrub,1,6
139,140,"PRGL2,ATCA2,YUEL",PRGL2,ATCA2,YUEL,Sandy,"shrub,shrub,succulent",shrub,shrub,succulent,1,6
144,145,"PRGL2,GUSA2,",PRGL2,GUSA2,,Sandy,"shrub,subshrub",shrub,subshrub,NA,1,6
150,151,"PRGL2,GUSA2,ATCA2",PRGL2,GUSA2,ATCA2,Sandy,"shrub,subshrub,shrub",shrub,subshrub,shrub,1,6
153,154,"PRGL2,GUSA2,EPHspp",PRGL2,GUSA2,EPHspp,Sandy,"shrub,subshrub,succulent",shrub,subshrub,succulent,1,6
158,159,"PRGL2,GUSA2,LATR2",PRGL2,GUSA2,LATR2,Sandy,"shrub,subshrub,shrub",shrub,subshrub,shrub,1,6
162,163,"PRGL2,LATR2,FLCE",PRGL2,LATR2,FLCE,Sandy,"shrub,shrub,shrub",shrub,shrub,shrub,1,6
