"FID","Shape..","OBJECTID","FID_Polygo","Name","SUM_Shape_","FID_JER_Ec","ecosite1","SUM_Shape1","Shape_Leng","Shape_Area","Dom1FG"
"0","Polygon ZM","1","1","ARIST","0.001539","2","Clayey","13244532.45","0.039549","1.6e-05","PG"
"1","Polygon ZM","2","1","ARIST","0.001539","3","Deep sand","119701060","0.121085","0.000185","PG"
"2","Polygon ZM","3","1","ARIST","0.001539","11","Sandy","368111095.6","0.720329","0.001338","PG"
"3","Polygon ZM","4","2","Bare","5.8e-05","2","Clayey","13244532.45","0.030802","4.9e-05","Bare"
"4","Polygon ZM","5","2","Bare","5.8e-05","11","Sandy","368111095.6","0.021653","9e-06","Bare"
"5","Polygon ZM","6","3","BOER4","0.010776","1","Bottomland","35299777.56","0.131739","4e-05","PG"
"6","Polygon ZM","7","3","BOER4","0.010776","2","Clayey","13244532.45","0.024206","5e-06","PG"
"7","Polygon ZM","8","3","BOER4","0.010776","3","Deep sand","119701060","0.271462","0.000554","PG"
"8","Polygon ZM","9","3","BOER4","0.010776","5","Gravelly","53527326.23","0.040694","3.8e-05","PG"
"9","Polygon ZM","10","3","BOER4","0.010776","7","Limestone hills","125520706.8","0.009523","2e-06","PG"
"10","Polygon ZM","11","3","BOER4","0.010776","8","Loamy","15362815.09","0.038245","1.5e-05","PG"
"11","Polygon ZM","12","3","BOER4","0.010776","11","Sandy","368111095.6","2.442316","0.008113","PG"
"12","Polygon ZM","13","3","BOER4","0.010776","13","Shallow sandy","25426676.89","0.440623","0.002009","PG"
"13","Polygon ZM","14","4","GUSA2","0.002123","2","Clayey","13244532.45","0.028218","2.1e-05","subshrub"
"14","Polygon ZM","15","4","GUSA2","0.002123","3","Deep sand","119701060","0.359576","0.000593","subshrub"
"15","Polygon ZM","16","4","GUSA2","0.002123","11","Sandy","368111095.6","0.915966","0.001449","subshrub"
"16","Polygon ZM","17","4","GUSA2","0.002123","13","Shallow sandy","25426676.89","0.042969","6e-05","subshrub"
"17","Polygon ZM","18","5","SCBR2","0.004418","1","Bottomland","35299777.56","0.591704","0.000688","PG"
"18","Polygon ZM","19","5","SCBR2","0.004418","2","Clayey","13244532.45","0.144502","0.000183","PG"
"19","Polygon ZM","20","5","SCBR2","0.004418","3","Deep sand","119701060","0.107413","3.3e-05","PG"
"20","Polygon ZM","21","5","SCBR2","0.004418","4","Draw","6092080.685","0.007202","1e-06","PG"
"21","Polygon ZM","22","5","SCBR2","0.004418","5","Gravelly","53527326.23","0.133721","3.7e-05","PG"
"22","Polygon ZM","23","5","SCBR2","0.004418","8","Loamy","15362815.09","0.1796","5.9e-05","PG"
"23","Polygon ZM","24","5","SCBR2","0.004418","11","Sandy","368111095.6","2.336899","0.00337","PG"
"24","Polygon ZM","25","6","LATR2","0.007919","0"," ","3529.60461","0.004296","0","shrub"
"25","Polygon ZM","26","6","LATR2","0.007919","1","Bottomland","35299777.56","2.353015","0.001502","shrub"
"26","Polygon ZM","27","6","LATR2","0.007919","3","Deep sand","119701060","0.692198","0.001706","shrub"
"27","Polygon ZM","28","6","LATR2","0.007919","4","Draw","6092080.685","0.170439","5.8e-05","shrub"
"28","Polygon ZM","29","6","LATR2","0.007919","5","Gravelly","53527326.23","0.865128","0.001463","shrub"
"29","Polygon ZM","30","6","LATR2","0.007919","7","Limestone hills","125520706.8","0.178932","0.000168","shrub"
"30","Polygon ZM","31","6","LATR2","0.007919","8","Loamy","15362815.09","1.431221","0.001302","shrub"
"31","Polygon ZM","32","6","LATR2","0.007919","11","Sandy","368111095.6","0.880124","0.00172","shrub"
"32","Polygon ZM","33","7","PRGL2","0.01881","1","Bottomland","35299777.56","0.026464","2e-05","shrub"
"33","Polygon ZM","34","7","PRGL2","0.01881","2","Clayey","13244532.45","0.04409","7.8e-05","shrub"
"34","Polygon ZM","35","7","PRGL2","0.01881","3","Deep sand","119701060","1.532551","0.007365","shrub"
"35","Polygon ZM","36","7","PRGL2","0.01881","4","Draw","6092080.685","0.438166","0.000212","shrub"
"36","Polygon ZM","37","7","PRGL2","0.01881","5","Gravelly","53527326.23","0.065317","4e-05","shrub"
"37","Polygon ZM","38","7","PRGL2","0.01881","7","Limestone hills","125520706.8","0.144079","8.1e-05","shrub"
"38","Polygon ZM","39","7","PRGL2","0.01881","11","Sandy","368111095.6","2.368962","0.010776","shrub"
"39","Polygon ZM","40","7","PRGL2","0.01881","13","Shallow sandy","25426676.89","0.187378","0.000234","shrub"
"40","Polygon ZM","41","8","Other grasses","0.00016","2","Clayey","13244532.45","0.032044","3.8e-05","PG"
"41","Polygon ZM","42","8","Other grasses","0.00016","5","Gravelly","53527326.23","0.009566","3e-06","PG"
"42","Polygon ZM","43","8","Other grasses","0.00016","11","Sandy","368111095.6","0.105436","0.000119","PG"
"43","Polygon ZM","44","9","Other shrubs","0.000743","2","Clayey","13244532.45","0.006292","2e-06","shrub"
"44","Polygon ZM","45","9","Other shrubs","0.000743","3","Deep sand","119701060","0.029094","2.1e-05","shrub"
"45","Polygon ZM","46","9","Other shrubs","0.000743","4","Draw","6092080.685","0.000564","0","shrub"
"46","Polygon ZM","47","9","Other shrubs","0.000743","7","Limestone hills","125520706.8","0.013734","5e-06","shrub"
"47","Polygon ZM","48","9","Other shrubs","0.000743","11","Sandy","368111095.6","0.37948","0.000715","shrub"
"48","Polygon ZM","49","10","SPORO","0.000909","2","Clayey","13244532.45","0.030255","1.7e-05","PG"
"49","Polygon ZM","50","10","SPORO","0.000909","5","Gravelly","53527326.23","0.012276","4e-06","PG"
"50","Polygon ZM","51","10","SPORO","0.000909","11","Sandy","368111095.6","0.598861","0.000888","PG"
"51","Polygon ZM","52","11","FLCE","0.006261","1","Bottomland","35299777.56","0.545711","0.000539","shrub"
"52","Polygon ZM","53","11","FLCE","0.006261","2","Clayey","13244532.45","0.192027","0.000378","shrub"
"53","Polygon ZM","54","11","FLCE","0.006261","3","Deep sand","119701060","0.156085","0.000148","shrub"
"54","Polygon ZM","55","11","FLCE","0.006261","5","Gravelly","53527326.23","0.110046","0.000347","shrub"
"55","Polygon ZM","56","11","FLCE","0.006261","8","Loamy","15362815.09","0.224941","7.4e-05","shrub"
"56","Polygon ZM","57","11","FLCE","0.006261","11","Sandy","368111095.6","1.630306","0.00477","shrub"
"57","Polygon ZM","58","12","PLMU3","0.002308","1","Bottomland","35299777.56","0.409335","0.000233","PG"
"58","Polygon ZM","59","12","PLMU3","0.002308","2","Clayey","13244532.45","0.356342","0.000457","PG"
"59","Polygon ZM","60","12","PLMU3","0.002308","3","Deep sand","119701060","0.110296","4.9e-05","PG"
"60","Polygon ZM","61","12","PLMU3","0.002308","4","Draw","6092080.685","0.000276","0","PG"
"61","Polygon ZM","62","12","PLMU3","0.002308","5","Gravelly","53527326.23","0.055569","1.2e-05","PG"
"62","Polygon ZM","63","12","PLMU3","0.002308","8","Loamy","15362815.09","0.103509","1.8e-05","PG"
"63","Polygon ZM","64","12","PLMU3","0.002308","11","Sandy","368111095.6","1.111491","0.001538","PG"
