FID,OBJECTID,FID_Jornad,ecosite1,ecosite2,ecosite3,Name,Dom1FG,esite1type,esite2type,esite3type,GeneralizedState
0,1,1, , , ,LATR2,shrub,NA,NA,NA,NA
1,2,2,Bottomland,Limy,Salt Flats,BOER4,PG,1,1,1,1
2,3,2,Bottomland,Limy,Salt Flats,SCBR2,PG,1,1,1,2
3,4,2,Bottomland,Limy,Salt Flats,LATR2,shrub,1,1,1,4
4,5,2,Bottomland,Limy,Salt Flats,PRGL2,shrub,1,1,1,4
5,6,2,Bottomland,Limy,Salt Flats,FLCE,shrub,1,1,1,4
6,7,2,Bottomland,Limy,Salt Flats,PLMU3,PG,1,1,1,1
7,8,3,Clayey,Bottomland,Loamy,ARIST,PG,1,1,1,1
8,9,3,Clayey,Bottomland,Loamy,Bare,Bare,1,1,1,7
9,10,3,Clayey,Bottomland,Loamy,BOER4,PG,1,1,1,1
10,11,3,Clayey,Bottomland,Loamy,GUSA2,subshrub,1,1,1,4
11,12,3,Clayey,Bottomland,Loamy,SCBR2,PG,1,1,1,2
12,13,3,Clayey,Bottomland,Loamy,PRGL2,shrub,1,1,1,4
13,14,3,Clayey,Bottomland,Loamy,Other grasses,PG,1,1,1,2
14,15,3,Clayey,Bottomland,Loamy,Other shrubs,shrub,1,1,1,4
15,16,3,Clayey,Bottomland,Loamy,SPORO,PG,1,1,1,1
16,17,3,Clayey,Bottomland,Loamy,FLCE,shrub,1,1,1,4
17,18,3,Clayey,Bottomland,Loamy,PLMU3,PG,1,1,1,1
18,19,4,Deep sand, , ,PRGL2,shrub,2,NA,NA,5
19,20,5,Deep sand,Sandy,Shallow sandy,BOER4,PG,2,1,1,3
20,21,5,Deep sand,Sandy,Shallow sandy,GUSA2,subshrub,2,1,1,5
21,22,5,Deep sand,Sandy,Shallow sandy,SCBR2,PG,2,1,1,3
22,23,5,Deep sand,Sandy,Shallow sandy,LATR2,shrub,2,1,1,5
23,24,5,Deep sand,Sandy,Shallow sandy,PRGL2,shrub,2,1,1,5
24,25,5,Deep sand,Sandy,Shallow sandy,Other shrubs,shrub,2,1,1,5
25,26,5,Deep sand,Sandy,Shallow sandy,FLCE,shrub,2,1,1,5
26,27,5,Deep sand,Sandy,Shallow sandy,PLMU3,PG,2,1,1,3
27,28,6,Deep sand,Shallow sandy, ,ARIST,PG,2,1,NA,3
28,29,6,Deep sand,Shallow sandy, ,BOER4,PG,2,1,NA,3
29,30,6,Deep sand,Shallow sandy, ,GUSA2,subshrub,2,1,NA,5
30,31,6,Deep sand,Shallow sandy, ,PRGL2,shrub,2,1,NA,5
31,32,7,Deep sand,Shallow sandy,Deep sand,ARIST,PG,2,1,2,3
32,33,8,Deep sand,Shallow sandy,Shallow sandy,ARIST,PG,2,1,1,3
33,34,8,Deep sand,Shallow sandy,Shallow sandy,GUSA2,subshrub,2,1,1,5
34,35,8,Deep sand,Shallow sandy,Shallow sandy,PRGL2,shrub,2,1,1,5
35,36,10,Draw,No ecosite, ,SCBR2,PG,1,NA,NA,2
36,37,10,Draw,No ecosite, ,LATR2,shrub,1,NA,NA,4
37,38,10,Draw,No ecosite, ,PRGL2,shrub,1,NA,NA,4
38,39,10,Draw,No ecosite, ,Other shrubs,shrub,1,NA,NA,4
39,40,10,Draw,No ecosite, ,PLMU3,PG,1,NA,NA,1
40,41,11,Draw,Shallow sandy, ,LATR2,shrub,1,1,NA,4
41,42,12,Gravelly, , ,LATR2,shrub,2,NA,NA,5
42,43,12,Gravelly, , ,PRGL2,shrub,2,NA,NA,5
43,44,13,Gravelly,Loamy, ,BOER4,PG,2,1,NA,3
44,45,13,Gravelly,Loamy, ,SCBR2,PG,2,1,NA,3
45,46,13,Gravelly,Loamy, ,LATR2,shrub,2,1,NA,5
46,47,13,Gravelly,Loamy, ,FLCE,shrub,2,1,NA,5
47,48,13,Gravelly,Loamy, ,PLMU3,PG,2,1,NA,3
48,49,14,Gravelly,No ecosite, ,LATR2,shrub,2,NA,NA,5
49,50,14,Gravelly,No ecosite, ,FLCE,shrub,2,NA,NA,5
50,51,15,Gravelly,Shallow sandy, ,FLCE,shrub,2,1,NA,5
51,52,16,Gravelly,Shallow sandy, ,LATR2,shrub,2,1,NA,5
52,53,16,Gravelly,Shallow sandy, ,Other grasses,PG,2,1,NA,3
53,54,16,Gravelly,Shallow sandy, ,SPORO,PG,2,1,NA,3
54,55,16,Gravelly,Shallow sandy, ,FLCE,shrub,2,1,NA,5
55,56,16,Gravelly,Shallow sandy, ,PLMU3,PG,2,1,NA,3
56,57,18,Limestone hills,No ecosite, ,BOER4,PG,2,NA,NA,3
57,58,18,Limestone hills,No ecosite, ,LATR2,shrub,2,NA,NA,5
58,59,18,Limestone hills,No ecosite, ,PRGL2,shrub,2,NA,NA,5
