"","FID","Shape..","OBJECTID","FID_Jornad","ecosite1","ecosite2","ecosite3","SUM_Shape_","FID_Polygo","Name","SUM_Shape1","Shape_Leng","Shape_Area","Dom1FG","esite1type","esite2type","esite3type","GeneralizedState"
"1",0,"Polygon ZM",1,1," "," "," ",3529.60461,6,"LATR2",0.007919,409.257718,3496.239905,"shrub",NA,NA,NA,NA
"2",1,"Polygon ZM",2,2,"Bottomland","Limy","Salt Flats",35299777.56,3,"BOER4",0.010776,12889.3265,413138.008,"PG",1,1,1,1
"3",2,"Polygon ZM",3,2,"Bottomland","Limy","Salt Flats",35299777.56,5,"SCBR2",0.004418,58267.55499,7160912.932,"PG",1,1,1,2
"4",3,"Polygon ZM",4,2,"Bottomland","Limy","Salt Flats",35299777.56,6,"LATR2",0.007919,230362.9852,15633392.03,"shrub",1,1,1,4
"5",4,"Polygon ZM",5,2,"Bottomland","Limy","Salt Flats",35299777.56,7,"PRGL2",0.01881,2716.151612,205246.5048,"shrub",1,1,1,4
"6",5,"Polygon ZM",6,2,"Bottomland","Limy","Salt Flats",35299777.56,11,"FLCE",0.006261,54038.05289,5610530.543,"shrub",1,1,1,4
"7",6,"Polygon ZM",7,2,"Bottomland","Limy","Salt Flats",35299777.56,12,"PLMU3",0.002308,40231.31614,2424236.131,"PG",1,1,1,1
"8",7,"Polygon ZM",8,3,"Clayey","Bottomland","Loamy",13244532.45,1,"ARIST",0.001539,3932.18918,167715.659,"PG",1,1,1,1
"9",8,"Polygon ZM",9,3,"Clayey","Bottomland","Loamy",13244532.45,2,"Bare",5.8e-05,3096.279989,513131.6741,"Bare",1,1,1,7
"10",9,"Polygon ZM",10,3,"Clayey","Bottomland","Loamy",13244532.45,3,"BOER4",0.010776,2386.515501,56066.26417,"PG",1,1,1,1
"11",10,"Polygon ZM",11,3,"Clayey","Bottomland","Loamy",13244532.45,4,"GUSA2",0.002123,2870.432857,215667.9706,"subshrub",1,1,1,4
"12",11,"Polygon ZM",12,3,"Clayey","Bottomland","Loamy",13244532.45,5,"SCBR2",0.004418,14669.33825,1907110.828,"PG",1,1,1,2
"13",12,"Polygon ZM",13,3,"Clayey","Bottomland","Loamy",13244532.45,7,"PRGL2",0.01881,4291.991616,806981.5979,"shrub",1,1,1,4
"14",13,"Polygon ZM",14,3,"Clayey","Bottomland","Loamy",13244532.45,8,"Other grasses",0.00016,3218.314897,392383.467,"PG",1,1,1,2
"15",14,"Polygon ZM",15,3,"Clayey","Bottomland","Loamy",13244532.45,9,"Other shrubs",0.000743,613.996989,18580.08396,"shrub",1,1,1,4
"16",15,"Polygon ZM",16,3,"Clayey","Bottomland","Loamy",13244532.45,10,"SPORO",0.000909,2998.105642,178184.4335,"PG",1,1,1,1
