"FID","Shape..","OBJECTID","FID_JERVeg","DOM1","DOM2","DOM3","SUM_Shape_","FID_JER_Ec","ecosite1","SUM_Shape1","Shape_Leng","Shape_Area","Dom1FG","Dom2FG","Dom3FG"
"0","Polygon","1","1","ARFI2","PRGL2","ARPU9","848488.8688","3","Deep sand","119701060","6514.815172","385875.6478","shrub","shrub","PG"
"1","Polygon","2","1","ARFI2","PRGL2","ARPU9","848488.8688","4","Draw","6092080.685","1650.555481","44190.9707","shrub","shrub","PG"
"2","Polygon","3","1","ARFI2","PRGL2","ARPU9","848488.8688","7","Limestone hills","125520706.8","4494.769729","418422.2513","shrub","shrub","PG"
"3","Polygon","4","2","ARPU9","PLMU3","PRGL2","123354.5101","11","Sandy","368111095.6","1467.091604","123354.5101","PG","PG","shrub"
"4","Polygon","5","3","ARPU9","SPFL2"," ","583649.5255","2","Clayey","13244532.45","450.110276","2708.510337","PG","PG",NA
"5","Polygon","6","3","ARPU9","SPFL2"," ","583649.5255","11","Sandy","368111095.6","5332.629886","578403.25","PG","PG",NA
"6","Polygon","7","4","ATCA2","FLCE","PRGL2","104277.7595","11","Sandy","368111095.6","2994.311424","104277.7595","shrub","shrub","shrub"
"7","Polygon","8","5","ATCA2","PRGL2","PLMU3","73764.27674","1","Bottomland","35299777.56","1127.438929","73764.27674","shrub","shrub","PG"
"8","Polygon","9","6","Bare"," "," ","672734.5624","1","Bottomland","35299777.56","1309.602255","59236.97516","Bare",NA,NA
"9","Polygon","10","6","Bare"," "," ","672734.5624","2","Clayey","13244532.45","2987.831638","525060","Bare",NA,NA
"10","Polygon","11","6","Bare"," "," ","672734.5624","11","Sandy","368111095.6","1680.79271","88437.58721","Bare",NA,NA
"11","Polygon","12","7","BOER4","ARPU9","SPFL2","553870.958","11","Sandy","368111095.6","4004.306034","553870.958","PG","PG","PG"
"12","Polygon","13","8","BOER4","ARPU9","YUEL","1697371.497","11","Sandy","368111095.6","6514.490033","1697371.497","PG","PG","succulent"
"13","Polygon","14","9","BOER4","PRGL2","YUEL","1349749.198","11","Sandy","368111095.6","7141.198687","1283399.412","PG","shrub","succulent"
