"OBJECTID..","Shape..","TARGET_FID","soil_mu","SSURGO_dat","MLRA","LRU","Subres_are","ecosite1","ecosite2","ecosite3","esite","esite_alt","esite_alt2","state_code","State1","State2","State3","DomVeg","dom1","dom2","dom3","dom4","hist_state","grass_dur","ration","ration_dat","remarks","veri_esite","veri_state","esite_veri","state_veri","esite_corr","state_corr","date_chang","agency","person","corr_type","corr_reaso","chng_reaso","old_esite","old_state","old_remark","LU","Shape_Length","Shape_Area","FGString","Dom1FG","Dom2FG","Dom3FG","State1Char","State2Char","State3Char"
1,"Polygon","1","WP","NM690","42X","42.2","SD-2","Deep sand","Shallow sandy"," ","Playette","Bottomland","Sandy",462,4,6,2,"NA,NA,NA",NA,NA,NA,NA,"620","<Null>","photo interpretation"," "," ","no","no","<Null>","<Null>","<Null>","<Null>","11/10/2020","USDA","LMB"," "," "," "," ","620"," ","0",18178.93624,500155.9524,"NA,NA,NA",NA,NA,NA,"ShrubInvadedGrassland","Shrubland","AlteredGrassland/Savanna"
2,"Polygon","2","OP","NM690","42X","42.2","SD-2","Sandy","Deep sand","Shallow sandy","Playette","Bottomland","Sandy",462,4,6,2,"NA,NA,NA",NA,NA,NA,NA,"400","perennial","site visit"," ","seed bank study","yes","yes","<Null>","<Null>","<Null>","<Null>","11/12/2020","USDA","LMB"," "," "," "," ","400"," ","0",11191.23226,299728.4797,"NA,NA,NA",NA,NA,NA,"ShrubInvadedGrassland","Shrubland","AlteredGrassland/Savanna"
3,"Polygon","3","OP","NM690","42X","42.2","SD-2","Sandy","Deep sand","Shallow sandy","Sandy","Shallow sandy","<Null>",426,4,2,6,"NA,NA,NA",NA,NA,NA,NA,"600","perennial","existing point inventory data"," ","SPFL2 D24","no","no","<Null>","<Null>","<Null>","<Null>","11/16/2020","USDA","LMB"," "," "," "," ","600"," ","0",2385.313539,106478.4918,"NA,NA,NA",NA,NA,NA,"ShrubInvadedGrassland","AlteredGrassland/Savanna","Shrubland"
4,"Polygon","4","OP","NM690","42X","42.2","SD-2","Sandy","Deep sand","Shallow sandy","Sandy","Deep sand","<Null>",426,4,2,6,"NA,NA,NA",NA,NA,NA,NA,"420","<Null>","photo interpretation"," "," ","yes","yes","<Null>","<Null>","<Null>","<Null>","11/16/2020","USDA","LMB"," "," "," "," ","420"," ","0",1573.927103,101432.051,"NA,NA,NA",NA,NA,NA,"ShrubInvadedGrassland","AlteredGrassland/Savanna","Shrubland"
5,"Polygon","6","WP","NM690","42X","42.2","SD-2","Deep sand","Shallow sandy"," ","Playette","Bottomland","Sandy",462,4,6,2,"NA,NA,NA",NA,NA,NA,NA,"620","perennial","photo interpretation"," "," ","no","no","<Null>","<Null>","<Null>","<Null>","11/12/2020","USDA","LMB"," "," "," "," ","620"," ","0",2285.721617,43977.64486,"NA,NA,NA",NA,NA,NA,"ShrubInvadedGrassland","Shrubland","AlteredGrassland/Savanna"
6,"Polygon","7","WP","NM690","42X","42.2","SD-2","Deep sand","Shallow sandy"," ","Playette","Bottomland","Sandy",426,4,2,6,"PRGL2,ATCA2,SPFL2","PRGL2","ATCA2","SPFL2","MUPO2","300","perennial","existing point inventory data"," ","seed bank 53","yes","yes","<Null>","<Null>","<Null>","<Null>","11/12/2020","USDA","LMB"," "," "," "," ","300"," ","0",490.24618,15192.09693,"shrub,shrub,PG","shrub","shrub","PG","ShrubInvadedGrassland","AlteredGrassland/Savanna","Shrubland"
7,"Polygon","8","WP","NM690","42X","42.2","SD-2","Deep sand","Shallow sandy"," ","Sandy","Deep sand"," ",624,6,2,4,"NA,NA,NA",NA,NA,NA,NA,"600","<Null>","photo interpretation"," "," ","no","no","<Null>","<Null>","<Null>","<Null>","11/18/2020","USDA","LMB"," "," "," "," ","600"," ","0",457.744494,7800.199512,"NA,NA,NA",NA,NA,NA,"Shrubland","AlteredGrassland/Savanna","ShrubInvadedGrassland"
8,"Polygon","9","WP","NM690","42X","42.2","SD-2","Deep sand","Shallow sandy"," ","Sandy","Deep sand"," ",624,6,2,4,"NA,NA,NA",NA,NA,NA,NA,"600","perennial","photo interpretation"," "," ","no","no","<Null>","<Null>","<Null>","<Null>","11/12/2020","USDA","LMB"," "," "," "," ","600"," ","0",2586.975205,126417.8798,"NA,NA,NA",NA,NA,NA,"Shrubland","AlteredGrassland/Savanna","ShrubInvadedGrassland"
9,"Polygon","11","OP","NM690","42X","42.2","SD-2","Sandy","Deep sand","Shallow sandy","Sandy","Shallow sandy","<Null>",426,4,2,6,"SPFL2,PRGL2,MUPO2","SPFL2","PRGL2","MUPO2",NA,"560","perennial","existing point inventory data"," ","seed bank 70","yes","yes","<Null>","<Null>","<Null>","<Null>","11/13/2020","USDA","LMB"," "," "," "," ","560"," ","0",426.290405,7620.435583,"PG,shrub,PG","PG","shrub","PG","ShrubInvadedGrassland","AlteredGrassland/Savanna","Shrubland"
10,"Polygon","12","OP","NM690","42X","42.2","SD-2","Sandy","Deep sand","Shallow sandy","Sandy","<Null>","<Null>",426,4,2,6,"SPFL2,PRGL2,YUEL","SPFL2","PRGL2","YUEL","MUPO2","600","perennial","existing point inventory data"," ","seed bank 212, 229","yes","yes","<Null>","<Null>","<Null>","<Null>","11/13/2020","USDA","LMB"," "," "," "," ","600"," ","0",13183.93406,678576.7657,"PG,shrub,succulent","PG","shrub","succulent","ShrubInvadedGrassland","AlteredGrassland/Savanna","Shrubland"
11,"Polygon","13","OP","NM690","42X","42.2","SD-2","Sandy","Deep sand","Shallow sandy","Draw","Shallow sandy","Sandy",247,2,4,7,"NA,NA,NA",NA,NA,NA,NA,"140","<Null>","photo interpretation"," ","<Null>","yes","yes","<Null>","<Null>","<Null>","<Null>","11/12/2020","USDA","LMB"," "," "," "," ","140"," ","0",3340.933011,93254.56225,"NA,NA,NA",NA,NA,NA,"AlteredGrassland/Savanna","ShrubInvadedGrassland","Bare/Annuals"
12,"Polygon","14","OP","NM690","42X","42.2","SD-2","Sandy","Deep sand","Shallow sandy","Shallow sandy","Sandy","<Null>",426,4,2,6,"NA,NA,NA",NA,NA,NA,NA,"140","<Null>","photo interpretation"," "," ","no","no","<Null>","<Null>","<Null>","<Null>","11/13/2020","USDA","LMB"," "," "," "," ","140"," ","0",724.392725,23375.0202,"NA,NA,NA",NA,NA,NA,"ShrubInvadedGrassland","AlteredGrassland/Savanna","Shrubland"
