FID,Shape *,OBJECTID,FID_JERVeg,ZST_DOM,ZND_DOM,ZRD_DOM,SUM_Shape_,FID_JER_Ec,ecosite1,SUM_Shape1,Shape_Leng,Shape_Area
0,Polygon,1,1,ARFI,GUSA, ,1299656.061,3,Deep sand,119701060,3024.231736,439863.4068
1,Polygon,2,1,ARFI,GUSA, ,1299656.061,11,Sandy,368111095.6,3963.200951,859792.6558
2,Polygon,3,2,ARISTspp,BOER,PRGL,73784.5166,11,Sandy,368111095.6,1202.621687,73784.5166
3,Polygon,4,3,ARISTspp,BOER,SPORspp,32020213.01,3,Deep sand,119701060,16485.98206,2926929.507
4,Polygon,5,3,ARISTspp,BOER,SPORspp,32020213.01,11,Sandy,368111095.6,96059.62156,21907938.19
5,Polygon,6,3,ARISTspp,BOER,SPORspp,32020213.01,13,Shallow sandy,25426676.89,34037.35437,7185345.309
6,Polygon,7,4,ARISTspp,BOER,YUEL,657493.5963,3,Deep sand,119701060,2287.633102,276857.9242
7,Polygon,8,4,ARISTspp,BOER,YUEL,657493.5963,11,Sandy,368111095.6,2675.364018,380635.6713
8,Polygon,9,5,ARISTspp,GUSA,BOER,689245.529,11,Sandy,368111095.6,3325.111178,689245.529
9,Polygon,10,6,BOER,ARISTspp, ,75032717.77,2,Clayey,13244532.45,1319.186652,98172.45282
10,Polygon,11,6,BOER,ARISTspp, ,75032717.77,3,Deep sand,119701060,25968.91314,5112284.215
11,Polygon,12,6,BOER,ARISTspp, ,75032717.77,11,Sandy,368111095.6,147895.5248,55419608.92
12,Polygon,13,6,BOER,ARISTspp, ,75032717.77,13,Shallow sandy,25426676.89,48983.98191,14300329.42
13,Polygon,14,7,BOER,ARISTspp,DAPU,1112326.695,11,Sandy,368111095.6,6252.538909,1112326.695
14,Polygon,15,8,BOER,ARISTspp,GUSA,499627.7421,2,Clayey,13244532.45,1527.403218,74884.07609
15,Polygon,16,8,BOER,ARISTspp,GUSA,499627.7421,11,Sandy,368111095.6,2990.09226,424743.6666
16,Polygon,17,9,BOER,ARISTspp,MUARE,7556672.314,11,Sandy,368111095.6,19117.93167,7556672.314
17,Polygon,18,10,BOER,ARISTspp,PRGL,1188520.863,2,Clayey,13244532.45,1610.150605,111131.1024
18,Polygon,19,10,BOER,ARISTspp,PRGL,1188520.863,3,Deep sand,119701060,1162.941834,67856.32138
19,Polygon,20,10,BOER,ARISTspp,PRGL,1188520.863,11,Sandy,368111095.6,9042.012456,1009533.438
20,Polygon,21,11,BOER,ARISTspp,SPORspp,2299034.329,11,Sandy,368111095.6,13858.60396,2299034.329
