FID,Shape *,OBJECTID,FID_Polygo,Name,SUM_Shape_,FID_JER_Ec,ecosite1,SUM_Shape1,Shape_Leng,Shape_Area
0,Polygon ZM,1,1,Aristida spp.,0.001539,2,Clayey,13244532.45,0.039549,0.000016
1,Polygon ZM,2,1,Aristida spp.,0.001539,3,Deep sand,119701060,0.121085,0.000185
2,Polygon ZM,3,1,Aristida spp.,0.001539,11,Sandy,368111095.6,0.720329,0.001338
3,Polygon ZM,4,2,Bare,0.000058,2,Clayey,13244532.45,0.030802,0.000049
4,Polygon ZM,5,2,Bare,0.000058,11,Sandy,368111095.6,0.021653,0.000009
5,Polygon ZM,6,3,Black grama,0.010776,1,Bottomland,35299777.56,0.131739,0.00004
6,Polygon ZM,7,3,Black grama,0.010776,2,Clayey,13244532.45,0.024206,0.000005
7,Polygon ZM,8,3,Black grama,0.010776,3,Deep sand,119701060,0.271462,0.000554
8,Polygon ZM,9,3,Black grama,0.010776,5,Gravelly,53527326.23,0.040694,0.000038
9,Polygon ZM,10,3,Black grama,0.010776,7,Limestone hills,125520706.8,0.009523,0.000002
10,Polygon ZM,11,3,Black grama,0.010776,8,Loamy,15362815.09,0.038245,0.000015
11,Polygon ZM,12,3,Black grama,0.010776,11,Sandy,368111095.6,2.442316,0.008113
12,Polygon ZM,13,3,Black grama,0.010776,13,Shallow sandy,25426676.89,0.440623,0.002009
13,Polygon ZM,14,4,Broom snakeweed,0.002123,2,Clayey,13244532.45,0.028218,0.000021
14,Polygon ZM,15,4,Broom snakeweed,0.002123,3,Deep sand,119701060,0.359576,0.000593
15,Polygon ZM,16,4,Broom snakeweed,0.002123,11,Sandy,368111095.6,0.915966,0.001449
16,Polygon ZM,17,4,Broom snakeweed,0.002123,13,Shallow sandy,25426676.89,0.042969,0.00006
17,Polygon ZM,18,5,Burrograss,0.004418,1,Bottomland,35299777.56,0.591704,0.000688
18,Polygon ZM,19,5,Burrograss,0.004418,2,Clayey,13244532.45,0.144502,0.000183
19,Polygon ZM,20,5,Burrograss,0.004418,3,Deep sand,119701060,0.107413,0.000033
20,Polygon ZM,21,5,Burrograss,0.004418,4,Draw,6092080.685,0.007202,0.000001
21,Polygon ZM,22,5,Burrograss,0.004418,5,Gravelly,53527326.23,0.133721,0.000037
22,Polygon ZM,23,5,Burrograss,0.004418,8,Loamy,15362815.09,0.1796,0.000059
23,Polygon ZM,24,5,Burrograss,0.004418,11,Sandy,368111095.6,2.336899,0.00337
24,Polygon ZM,25,6,Creosotebush,0.007919,0, ,3529.60461,0.004296,0
25,Polygon ZM,26,6,Creosotebush,0.007919,1,Bottomland,35299777.56,2.353015,0.001502
