"FID","Shape","OBJECTID","FID_Jornad","ecosite1","ecosite2","ecosite3","SUM_Shape_","FID_JERVeg","DOM1","DOM2","DOM3","SUM_Shape1","Shape_Leng","Shape_Area","GeneralizedStateNumber"
0,"Polygon",1,1," "," "," ",3529.60461,12,"DAFO","LATR2","COWA",189431.8893,193.826817,1819.853278,NA
1,"Polygon",2,2,"Bottomland","Limy","Salt Flats",35299777.56,5,"ATCA2","PRGL2","PLMU3",73764.27674,1127.438929,73764.27674,4
2,"Polygon",3,2,"Bottomland","Limy","Salt Flats",35299777.56,6,"Bare"," "," ",672734.5624,1309.602255,59236.97516,7
3,"Polygon",4,2,"Bottomland","Limy","Salt Flats",35299777.56,22,"FLCE","LATR2","PLMU3",2217269.929,25081.9078,1223274.825,2
4,"Polygon",5,2,"Bottomland","Limy","Salt Flats",35299777.56,23,"FLCE","LATR2","PRGL2",106827.5527,2357.702016,82508.08409,2
5,"Polygon",6,2,"Bottomland","Limy","Salt Flats",35299777.56,27,"FLCE","PLMU3","PRGL2",1053634.346,4801.521843,724499.7229,2
6,"Polygon",7,2,"Bottomland","Limy","Salt Flats",35299777.56,43,"LATR2","FLCE","PLMU3",43342492.31,111407.184,15044719.03,2
7,"Polygon",8,2,"Bottomland","Limy","Salt Flats",35299777.56,46,"LATR2","FLCE","SCBR2",977810.0217,7557.768061,365609.9572,2
8,"Polygon",9,2,"Bottomland","Limy","Salt Flats",35299777.56,47,"LATR2","GUSA2","ERLE",1222034.019,2484.961372,48567.01599,2
9,"Polygon",10,2,"Bottomland","Limy","Salt Flats",35299777.56,48,"LATR2","MUPO2","PRGL2",1829154.863,4409.867642,55118.19264,2
10,"Polygon",11,2,"Bottomland","Limy","Salt Flats",35299777.56,50,"LATR2","PLMU3","SCBR2",629345.0185,6404.922769,622350.4269,2
11,"Polygon",12,2,"Bottomland","Limy","Salt Flats",35299777.56,52,"LATR2","PRGL2","FLCE",47405692.14,232959.5538,10031955.11,2
12,"Polygon",13,2,"Bottomland","Limy","Salt Flats",35299777.56,54,"LATR2","PRGL2","FLCE",25483520.6,13205.12311,1229251.158,2
13,"Polygon",14,2,"Bottomland","Limy","Salt Flats",35299777.56,55,"LATR2","SCBR2"," ",965816.2125,7270.631284,778511.0904,2
14,"Polygon",15,2,"Bottomland","Limy","Salt Flats",35299777.56,63,"PLMU3","SCBR2"," ",1297601.537,1108.931437,41463.6797,1
15,"Polygon",16,2,"Bottomland","Limy","Salt Flats",35299777.56,65,"PLMU3","SCBR2","LATR2",202752.8872,2303.107826,202752.8872,1
16,"Polygon",17,2,"Bottomland","Limy","Salt Flats",35299777.56,67,"PLMU3","SCBR2","PRGL2",1165251.326,3159.88709,327554.3064,1
17,"Polygon",18,2,"Bottomland","Limy","Salt Flats",35299777.56,82,"PRGL2","MUPO2","LATR2",1090007.922,11701.15985,393609.3321,2
18,"Polygon",19,2,"Bottomland","Limy","Salt Flats",35299777.56,85,"PRGL2","PLMU3","MUPO2",147505.9077,2226.485519,143552.0978,2
19,"Polygon",20,2,"Bottomland","Limy","Salt Flats",35299777.56,117,"PRGL2","FLCE","LATR2",1520696.644,4520.951346,66850.06467,2
20,"Polygon",21,2,"Bottomland","Limy","Salt Flats",35299777.56,121,"PRGL2","LATR2","FLCE",2844662.926,833.935187,1997.662159,2
21,"Polygon",22,3,"Clayey","Bottomland","Loamy",13244532.45,3,"ARPU9","SPFL2"," ",583649.5255,450.110276,2708.510337,2
22,"Polygon",23,3,"Clayey","Bottomland","Loamy",13244532.45,6,"Bare"," "," ",672734.5624,2987.831638,525060,7
23,"Polygon",24,3,"Clayey","Bottomland","Loamy",13244532.45,22,"FLCE","LATR2","PLMU3",2217269.929,1364.04139,71975.14048,2
24,"Polygon",25,3,"Clayey","Bottomland","Loamy",13244532.45,25,"FLCE","PLMU3"," ",293183.9004,1326.433524,69884.3523,2
25,"Polygon",26,3,"Clayey","Bottomland","Loamy",13244532.45,28,"FLCE","PLMU3","SCBR2",7147095.878,11733.79968,2840774.326,2
26,"Polygon",27,3,"Clayey","Bottomland","Loamy",13244532.45,32,"FLCE","SCBR2"," ",97830.09883,728.121018,19676.13181,2
27,"Polygon",28,3,"Clayey","Bottomland","Loamy",13244532.45,33,"FLCE","SCBR2","PLMU3",17413694.84,7808.498625,1326304.553,2
28,"Polygon",29,3,"Clayey","Bottomland","Loamy",13244532.45,35,"GUSA2","BOER4","YUEL",188418.1209,1322.703785,60268.58035,2
29,"Polygon",30,3,"Clayey","Bottomland","Loamy",13244532.45,40,"LATR2","FLCE"," ",432781.2282,841.870432,6585.130004,2
30,"Polygon",31,3,"Clayey","Bottomland","Loamy",13244532.45,42,"LATR2","FLCE","MUPO2",4064330.818,173.728212,1381.208274,2
31,"Polygon",32,3,"Clayey","Bottomland","Loamy",13244532.45,43,"LATR2","FLCE","PLMU3",43342492.31,1101.4144,54841.29733,2
