OBJECTID *,Shape *,TARGET_FID,soil_mu,SSURGO_dat,MLRA,LRU,Subres_are,ecosite1,ecosite2,ecosite3,esite,esite_alt,esite_alt2,state_code,dom1,dom2,dom3,dom4,hist_state,grass_dur,ration,ration_dat,remarks,veri_esite,veri_state,esite_veri,state_veri,esite_corr,state_corr,date_chang,agency,person,corr_type,corr_reaso,chng_reaso,old_esite,old_state,old_remark,LU,Shape_Length,Shape_Area
1,Polygon,1,WP,NM690,42X,42.2,SD-2,Deep sand,Shallow sandy, ,Playette,Bottomland,Sandy,462, ,<Null>, ,<Null>,620,<Null>,photo interpretation, , ,no,no,<Null>,<Null>,<Null>,<Null>,11/10/2020,USDA,LMB, , , , ,620, ,0,18178.93624,500155.9524
2,Polygon,2,OP,NM690,42X,42.2,SD-2,Sandy,Deep sand,Shallow sandy,Playette,Bottomland,Sandy,462,<Null>,<Null>,<Null>,<Null>,400,perennial,site visit, ,seed bank study,yes,yes,<Null>,<Null>,<Null>,<Null>,11/12/2020,USDA,LMB, , , , ,400, ,0,11191.23226,299728.4797
3,Polygon,3,OP,NM690,42X,42.2,SD-2,Sandy,Deep sand,Shallow sandy,Sandy,Shallow sandy,<Null>,426, ,<Null>, ,<Null>,600,perennial,existing point inventory data, ,SPFL2 D24,no,no,<Null>,<Null>,<Null>,<Null>,11/16/2020,USDA,LMB, , , , ,600, ,0,2385.313539,106478.4918
4,Polygon,4,OP,NM690,42X,42.2,SD-2,Sandy,Deep sand,Shallow sandy,Sandy,Deep sand,<Null>,426, ,<Null>, ,<Null>,420,<Null>,photo interpretation, , ,yes,yes,<Null>,<Null>,<Null>,<Null>,11/16/2020,USDA,LMB, , , , ,420, ,0,1573.927103,101432.051
5,Polygon,6,WP,NM690,42X,42.2,SD-2,Deep sand,Shallow sandy, ,Playette,Bottomland,Sandy,462, ,<Null>, ,<Null>,620,perennial,photo interpretation, , ,no,no,<Null>,<Null>,<Null>,<Null>,11/12/2020,USDA,LMB, , , , ,620, ,0,2285.721617,43977.64486
6,Polygon,7,WP,NM690,42X,42.2,SD-2,Deep sand,Shallow sandy, ,Playette,Bottomland,Sandy,426,PRGL2 - honey mesquite,ATCA2 - fourwing saltbush,SPFL2 - mesa dropseed,MUPO2 - bush muhly,300,perennial,existing point inventory data, ,seed bank 53,yes,yes,<Null>,<Null>,<Null>,<Null>,11/12/2020,USDA,LMB, , , , ,300, ,0,490.24618,15192.09693
7,Polygon,8,WP,NM690,42X,42.2,SD-2,Deep sand,Shallow sandy, ,Sandy,Deep sand, ,624, ,<Null>, ,<Null>,600,<Null>,photo interpretation, , ,no,no,<Null>,<Null>,<Null>,<Null>,11/18/2020,USDA,LMB, , , , ,600, ,0,457.744494,7800.199512
8,Polygon,9,WP,NM690,42X,42.2,SD-2,Deep sand,Shallow sandy, ,Sandy,Deep sand, ,624, ,<Null>, ,<Null>,600,perennial,photo interpretation, , ,no,no,<Null>,<Null>,<Null>,<Null>,11/12/2020,USDA,LMB, , , , ,600, ,0,2586.975205,126417.8798
9,Polygon,11,OP,NM690,42X,42.2,SD-2,Sandy,Deep sand,Shallow sandy,Sandy,Shallow sandy,<Null>,426,SPFL2 - mesa dropseed,PRGL2 - honey mesquite,MUPO2 - bush muhly,<Null>,560,perennial,existing point inventory data, ,seed bank 70,yes,yes,<Null>,<Null>,<Null>,<Null>,11/13/2020,USDA,LMB, , , , ,560, ,0,426.290405,7620.435583
10,Polygon,12,OP,NM690,42X,42.2,SD-2,Sandy,Deep sand,Shallow sandy,Sandy,<Null>,<Null>,426,SPFL2 - mesa dropseed,PRGL2 - honey mesquite,YUEL - soaptree yucca,MUPO2 - bush muhly,600,perennial,existing point inventory data, ,"seed bank 212, 229",yes,yes,<Null>,<Null>,<Null>,<Null>,11/13/2020,USDA,LMB, , , , ,600, ,0,13183.93406,678576.7657
11,Polygon,13,OP,NM690,42X,42.2,SD-2,Sandy,Deep sand,Shallow sandy,Draw,Shallow sandy,Sandy,247,<Null>,<Null>,<Null>,<Null>,140,<Null>,photo interpretation, ,<Null>,yes,yes,<Null>,<Null>,<Null>,<Null>,11/12/2020,USDA,LMB, , , , ,140, ,0,3340.933011,93254.56225
12,Polygon,14,OP,NM690,42X,42.2,SD-2,Sandy,Deep sand,Shallow sandy,Shallow sandy,Sandy,<Null>,426, ,<Null>, ,<Null>,140,<Null>,photo interpretation, , ,no,no,<Null>,<Null>,<Null>,<Null>,11/13/2020,USDA,LMB, , , , ,140, ,0,724.392725,23375.0202
13,Polygon,15,OP,NM690,42X,42.2,SD-2,Sandy,Deep sand,Shallow sandy,Sandy,<Null>,<Null>,426,SPFL2 - mesa dropseed,ATCA2 - fourwing saltbush,PRGL2 - honey mesquite,VACO,640,perennial,existing point inventory data, ,seed bank 235,yes,yes,<Null>,<Null>,<Null>,<Null>,11/13/2020,USDA,LMB, , , , ,640, ,0,1692.121214,51005.75215
14,Polygon,16,OP,NM690,42X,42.2,SD-2,Sandy,Deep sand,Shallow sandy,Sandy,Shallow sandy,<Null>,420,SPFL2 - mesa dropseed,PRGL2 - honey mesquite,YUEL - soaptree yucca,<Null>,400,perennial,existing point inventory data, ,seed bank 212,yes,yes,<Null>,<Null>,<Null>,<Null>,11/13/2020,USDA,LMB, , , , ,400, ,0,1890.556055,54992.88055
15,Polygon,17,OP,NM690,42X,42.2,SD-2,Sandy,Deep sand,Shallow sandy,Sandy,<Null>,<Null>,624, ,<Null>, ,<Null>,400,<Null>,photo interpretation, , ,no,no,<Null>,<Null>,<Null>,<Null>,11/18/2020,USDA,LMB, , , , ,400, ,0,3906.802605,242666.532
16,Polygon,20,OP,NM690,42X,42.2,SD-2,Sandy,Deep sand,Shallow sandy,Sandy,<Null>,<Null>,240,PRGL2 - honey mesquite,SPFL2 - mesa dropseed, ,<Null>,600,perennial,site visit, ,seed bank 71,yes,yes,<Null>,<Null>,<Null>,<Null>,11/13/2020,USDA,LMB, , , , ,600, ,0,779.34734,21371.39489
17,Polygon,21,47,NM690,42X,42.2,SD-2,Deep sand,Sandy,Shallow sandy,Sandy,Deep sand,<Null>,642,<Null>,<Null>,<Null>,<Null>,600,<Null>,<Null>,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,9/3/2019,USDA,LMB,ecosite,<Null>,<Null>,<Null>,600,<Null>,0,17112.4691,2446736.359
18,Polygon,22,818,NM690,42X,42.2,SD-2,Sandhills, , ,Deep sand,Sandhills, ,652,<Null>,<Null>,<Null>,<Null>,600,<Null>,<Null>,<Null>,<Null>,yes,yes,<Null>,<Null>,<Null>,<Null>,7/27/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,600,<Null>,0,4460.265892,182894.0136
19,Polygon,25,915,NM690,42X,42.2,SD-2,Limestone hills,No ecosite, ,Limestone hills,Hills, ,563,<Null>,<Null>,<Null>,<Null>,300,<Null>,photo interpretation,<Null>,Seed bank study 288,yes,yes,<Null>,<Null>,<Null>,<Null>,9/30/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,300,<Null>,0,53934.49374,2145685.101
