Site,SiteName,StateNumber,StateName,GeneralizedStateNumber,GeneralizedStateName,DomSp1,DomSp2
R042XB010NM,Gravelly,1,ShrubSavanna,3,ShrubSavanna,BOER4,LATR2
R042XB010NM,Gravelly,1,ShrubSavanna,3,ShrubSavanna,LATR2,BOER4
R042XB010NM,Gravelly,2,ShrubDominated,5,ShrubDominated,LATR2,FLCE
R042XB010NM,Gravelly,2,ShrubDominated,5,ShrubDominated,LATR2,BOER4
R042XB010NM,Gravelly,3,Shrubland ,6,Shrubland,LATR2,FLCE
R042XB010NM,Gravelly,3,Shrubland ,6,Shrubland,LATR2,BOER4
R042XB010NM,Gravelly,3,Shrubland ,6,Shrubland,LATR2,MUPO2
R042XB010NM,Gravelly,4,SparseSavanna ,2,AlteredSavanna,BOBA3,ARIST
R042XB010NM,Gravelly,5,BarrenShrubland ,6,Shrubland,LATR2,NA
R042XB010NM,Gravelly,6,Bare,7,Bare,NA,NA
