Site,SiteName,GeneralizedStateNumber,GeneralizedStateName,DomSp1,DomSp2
R042XB010NM,Gravelly,3,ShrubSavanna,BOER4,LATR2
R042XB010NM,Gravelly,3,ShrubSavanna,LATR2,BOER4
R042XB010NM,Gravelly,5,ShrubDominated,LATR2,FLCE
R042XB010NM,Gravelly,5,ShrubDominated,LATR2,BOER4
R042XB010NM,Gravelly,6,Shrubland,LATR2,FLCE
R042XB010NM,Gravelly,6,Shrubland,LATR2,BOER4
R042XB010NM,Gravelly,6,Shrubland,LATR2,MUPO2
R042XB010NM,Gravelly,6,Shrubland,LATR2,NA
R042XB010NM,Gravelly,7,Bare,NA,NA
R042XB012NM,Sandy,1,Grassland,BOER4,SPORO
R042XB012NM,Sandy,2,AlteredGrassland,SPORO,ARIST
R042XB012NM,Sandy,2,AlteredGrassland,SPORO ,BOER4
R042XB012NM,Sandy,2,AlteredGrassland,ARIST,SPORO
R042XB012NM,Sandy,2,AlteredGrassland,ARIST,BOER4
R042XB012NM,Sandy,4,ShrubInvadedGrassland,BOER4,PRGL2
R042XB012NM,Sandy,4,ShrubInvadedGrassland,ARIST,PRGL2
R042XB012NM,Sandy,4,ShrubInvadedGrassland,SPORO,PRGL2
R042XB012NM,Sandy,6,Shrubland,PRGL2,NA
R042XB012NM,Sandy,9,ExoticDominated,ERLE,NA
R042XB012NM,Sandy,4,ShrubInvadedGrassland,PRGL2,SPORO
R042XB012NM,Sandy,7,Bare,NA,NA
