SiteName,ecosite_2021attributetab,esite_2021attributetab,Notes
Bottomland,Bottomland,Bottomland,
Clayey,Clayey,Clayey,
Deep Sand,Deep sand,Deep sand,
NA,NA,Drainage,
Draw,Draw,Draw,
Gravelly,Gravelly,Gravelly,
NA,NA,Gyp upland,
NA,Juniperus,NA,
NA,NA,Hills,
Limestone Hills,Limestone hills,Limestone hills,
NA,Limy,NA,
Loamy,Loamy,Loamy,
NA,NA,Playa,
NA,NA,Playette,
NA,NA,Road,Remove
NA,Rock land,NA,
NA,Salt Flats,NA,
Sandhills,Sandhills,NA,
NA,Sandstone hills,NA,
Sandy,Sandy,Sandy,
NA,Shallow sandstone,NA,
Shallow sand,Shallow sandy,Shallow sandy,
NA,NA,Tank,Remove
