"","FGUnite"
"1","shrub,subshrub"
"2","PG,PG,shrub"
"3","PG,PG,PG"
"4","PG,PG,succulent"
"5","PG,subshrub,PG"
"6","PG,PG"
"7","PG,PG,subshrub"
"8","PG,succulent,shrub"
"9","PG,shrub,succulent"
"10","PG,succulent,PG"
"11","succulent,PG,subshrub"
"12","shrub,shrub,shrub"
"13","shrub,shrub,PG"
"14","shrub,shrub,subshrub"
"15","shrub,PG,PG"
"16","subshrub,PG,PG"
"17","subshrub,PG,shrub"
"18","subshrub,shrub"
"19","subshrub,shrub,PG"
"20","subshrub,shrub,shrub"
"21","subshrub,succulent"
"22","forb,Bare"
"23","shrub,PG"
"24","shrub,shrub,tree"
"25","shrub,subshrub,shrub"
"26","PG,shrub,shrub"
"27","shrub,shrub,succulent"
"28","shrub,PG,subshrub"
"29","shrub,subshrub,PG"
"30","shrub,subshrub,succulent"
"31","shrub,succulent,subshrub"
"32","shrub"
"33","PG"
"34","Bare"
"35","subshrub"
"36","shrub,PG,shrub"
"37","shrub,subshrub,Inv"
"38","subshrub,PG,succulent"
"39","shrub,shrub"
"40","PG,shrub,PG"
"41","shrub,succulent,PG"
"42","shrub,forb,shrub"
"43","subshrub,shrub,succulent"
"44","succulent,shrub"
"45","succulent,shrub,succulent"
"46","Inv,PG,succulent"
"47","PG,shrub"
"48","shrub,PG,succulent"
"49","shrub,succulent,Inv"
"50","shrub,succulent,shrub"
"51","PG,subshrub,shrub"
"52","PG,succulent"
"53","succulent,shrub,subshrub"
"54","shrub,succulent,succulent"
"55","succulent,succulent,shrub"
"56",""
"57","annuals,succulent,shrub"
"58","shrub,PG,PF"
"59","AG,PG,shrub"
"60","AG,shrub,shrub"
"61","succulent"
"62","PG,shrub,subshrub"
"63","annuals"
