OBJECTID,VegUnite,GeneralizedStateNumber,ecosite1,ecosite2,ecosite3,FID,Shape..,FID_JERVeg,SUM_Shape_,FID_JER_Ec,SUM_Shape1,Shape_Leng,Shape_Area
1,"ARFI2,GUSA2,",5,Deep sand, , ,0,Polygon,1,1299656.061,3,119701060,3024.231736,439863.4068
2,"ARFI2,GUSA2,",6,Sandy,Limy,Salt Flats,1,Polygon,1,1299656.061,11,368111095.6,3963.200951,859792.6558
3,"ARIST,BOER4,PRGL2",2,Sandy,Limy,Salt Flats,2,Polygon,2,73784.5166,11,368111095.6,1202.621687,73784.5166
4,"ARIST,BOER4,SPORO",3,Deep sand,Limy,Salt Flats,3,Polygon,3,32020213.01,3,119701060,16485.98206,2926929.507
5,"ARIST,BOER4,SPORO",2,Sandy,Limy,Salt Flats,4,Polygon,3,32020213.01,11,368111095.6,96059.62156,21907938.19
6,"ARIST,BOER4,SPORO",2,Shallow sandy,Limy,Salt Flats,5,Polygon,3,32020213.01,13,25426676.89,34037.35437,7185345.309
7,"ARIST,BOER4,YUEL",3,Deep sand,Limy,Salt Flats,6,Polygon,4,657493.5963,3,119701060,2287.633102,276857.9242
8,"ARIST,BOER4,YUEL",2,Sandy,Bottomland,Loamy,7,Polygon,4,657493.5963,11,368111095.6,2675.364018,380635.6713
9,"ARIST,GUSA2,BOER4",6,Sandy,Bottomland,Loamy,8,Polygon,5,689245.529,11,368111095.6,3325.111178,689245.529
10,"BOER4,ARIST,",1,Clayey,Bottomland,Loamy,9,Polygon,6,75032717.77,2,13244532.45,1319.186652,98172.45282
11,"BOER4,ARIST,",1,Deep sand,Bottomland,Loamy,10,Polygon,6,75032717.77,3,119701060,25968.91314,5112284.215
12,"BOER4,ARIST,",1,Sandy,Bottomland,Loamy,11,Polygon,6,75032717.77,11,368111095.6,147895.5248,55419608.92
13,"BOER4,ARIST,",1,Shallow sandy,Bottomland,Loamy,12,Polygon,6,75032717.77,13,25426676.89,48983.98191,14300329.42
14,"BOER4,ARIST,DAPU7",1,Sandy,Bottomland,Loamy,13,Polygon,7,1112326.695,11,368111095.6,6252.538909,1112326.695
15,"BOER4,ARIST,GUSA2",1,Clayey,Bottomland,Loamy,14,Polygon,8,499627.7421,2,13244532.45,1527.403218,74884.07609
16,"BOER4,ARIST,GUSA2",1,Sandy,Bottomland,Loamy,15,Polygon,8,499627.7421,11,368111095.6,2990.09226,424743.6666
17,"BOER4,ARIST,MUAR",1,Sandy, , ,16,Polygon,9,7556672.314,11,368111095.6,19117.93167,7556672.314
18,"BOER4,ARIST,PRGL2",1,Clayey,Sandy,Shallow sandy,17,Polygon,10,1188520.863,2,13244532.45,1610.150605,111131.1024
