"","OBJECTID1915","ecosite1","ecosite2","ecosite3","SP1915","FG1915","FG_GSName","FG_GSNum","SPTally","GeneralizedStateNum","GeneralizedStateName","VegUnite","SiteName","Site"
"1",23,"Gravelly","Shallow sandy"," ","BOER4,EPHspp,LATR2","PG,succulent,shrub",NA,NA,2,"3","ShrubSavanna","BOER4,LATR2,MUPO2","Gravelly","R042XB010NM"
"2",38,"Gravelly"," "," ","FLCE,LATR2,BOER4","shrub,shrub,PG","ShrubDominated",5,2,"3","ShrubSavanna","BOER4,LATR2,MUPO2","Gravelly","R042XB010NM"
"3",92,"Gravelly","Loamy","Deep sand","LATR2,FLCE,BOER4","shrub,shrub,PG","ShrubDominated",5,2,"3","ShrubSavanna","BOER4,LATR2,MUPO2","Gravelly","R042XB010NM"
"4",112,"Gravelly","Sandy"," ","LATR2,PRGL2,BOER4","shrub,shrub,PG","ShrubDominated",5,2,"3","ShrubSavanna","BOER4,LATR2,MUPO2","Gravelly","R042XB010NM"
"5",196,"Gravelly",NA,NA,"SCBR2,PLMU3,SPAI","PG,PG,PG","ShrubSavanna",3,0,"3","ShrubSavanna","BOER4,LATR2,MUPO2","Gravelly","R042XB010NM"
"6",201,"Gravelly",NA,NA,"SCBR2,SPAI,PLMU3","PG,PG,PG","ShrubSavanna",3,0,"3","ShrubSavanna","BOER4,LATR2,MUPO2","Gravelly","R042XB010NM"
"7",23,"Gravelly","Shallow sandy"," ","BOER4,EPHspp,LATR2","PG,succulent,shrub",NA,NA,2,"5","ShrubDominated","LATR2,FLCE,BOER4","Gravelly","R042XB010NM"
"8",38,"Gravelly"," "," ","FLCE,LATR2,BOER4","shrub,shrub,PG","ShrubDominated",5,3,"5","ShrubDominated","LATR2,FLCE,BOER4","Gravelly","R042XB010NM"
"9",47,"Gravelly","Shallow sandy"," ","FLCE,LATR2,PRGL2","shrub,shrub,shrub","ShrubInvadedGrassland",4,2,"5","ShrubDominated","LATR2,FLCE,BOER4","Gravelly","R042XB010NM"
"10",47,"Gravelly","Shallow sandy"," ","FLCE,LATR2,PRGL2","shrub,shrub,shrub","Shrubland",6,2,"5","ShrubDominated","LATR2,FLCE,BOER4","Gravelly","R042XB010NM"
"11",54,"Gravelly","No ecosite"," ","FLCE,LATR2,SPORO","shrub,shrub,PG","ShrubDominated",5,2,"5","ShrubDominated","LATR2,FLCE,BOER4","Gravelly","R042XB010NM"
"12",60,"Gravelly"," "," ","FLCE,SCBR2,BOER4","shrub,PG,PG","ShrubInvadedGrassland",4,2,"5","ShrubDominated","LATR2,FLCE,BOER4","Gravelly","R042XB010NM"
"13",60,"Gravelly"," "," ","FLCE,SCBR2,BOER4","shrub,PG,PG","Shrubland",6,2,"5","ShrubDominated","LATR2,FLCE,BOER4","Gravelly","R042XB010NM"
"14",92,"Gravelly","Loamy","Deep sand","LATR2,FLCE,BOER4","shrub,shrub,PG","ShrubDominated",5,3,"5","ShrubDominated","LATR2,FLCE,BOER4","Gravelly","R042XB010NM"
"15",98,"Gravelly","Loamy","Deep sand","LATR2,FLCE,GUSA2","shrub,shrub,subshrub",NA,NA,2,"5","ShrubDominated","LATR2,FLCE,BOER4","Gravelly","R042XB010NM"
"16",104,"Gravelly","Shallow sandy"," ","LATR2,FLCE,PRGL2","shrub,shrub,shrub","ShrubInvadedGrassland",4,2,"5","ShrubDominated","LATR2,FLCE,BOER4","Gravelly","R042XB010NM"
"17",104,"Gravelly","Shallow sandy"," ","LATR2,FLCE,PRGL2","shrub,shrub,shrub","Shrubland",6,2,"5","ShrubDominated","LATR2,FLCE,BOER4","Gravelly","R042XB010NM"
"18",109,"Gravelly","Sandy"," ","LATR2,FLCE,SCBR2","shrub,shrub,PG","ShrubDominated",5,2,"5","ShrubDominated","LATR2,FLCE,BOER4","Gravelly","R042XB010NM"
