OBJECTID1928,ecosite1,ecosite2,ecosite3,VegUnite,GeneralizedStateNum,SiteName,FG1928,SP1915,matches
5,Bottomland,Limy,Salt Flats,"PRGL2,BOER4,PF",2,Bottomland,shrub,PRGL2,1
7,Bottomland,Limy,Salt Flats,"PLMU3,FLCE,PRGL2",1,Bottomland,PG,PLMU3,1
10,Clayey,Bottomland,Loamy,"BOER4,PLMU3,ARIST",1,Loamy,PG,BOER4,1
12,Clayey,Bottomland,Loamy,"SCBR2,PLMU3,NA",1,Loamy,PG,SCBR2,1
13,Clayey,Bottomland,Loamy,"PRGL2,BOER4,PF",2,Bottomland,shrub,PRGL2,1
16,Clayey,Bottomland,Loamy,"SPORO,FLCE,PLMU3",2,Loamy,PG,SPORO,1
17,Clayey,Bottomland,Loamy,"FLCE,LYBE,SCBR2",2,Clayey,shrub,FLCE,1
18,Clayey,Bottomland,Loamy,PLMU3,1,Clayey,PG,PLMU3,1
19,Deep sand, , ,"PRGL2,PSSC6,MUPO2",2,Deep sand,shrub,PRGL2,1
20,Deep sand,Sandy,Shallow sandy,"BOER4,SPORO,MUPO2",1,Sandy,PG,BOER4,1
20,Deep sand,Sandy,Shallow sandy,"BOER4,PRGL2,SPCO4",1,Sandy,PG,BOER4,1
20,Deep sand,Sandy,Shallow sandy,"BOER4,PRGL2,SPFL2",1,Sandy,PG,BOER4,1
20,Deep sand,Sandy,Shallow sandy,"BOER4,PRGL2,SPORO",1,Sandy,PG,BOER4,1
20,Deep sand,Sandy,Shallow sandy,"BOER4,PRGL2,YUEL",1,Sandy,PG,BOER4,1
20,Deep sand,Sandy,Shallow sandy,"BOER4,SPFL2,PRGL2",1,Sandy,PG,BOER4,1
20,Deep sand,Sandy,Shallow sandy,"BOER4,SPFL2,YUEL",1,Sandy,PG,BOER4,1
20,Deep sand,Sandy,Shallow sandy,"BOER4,ARPU9,YUEL",1,Shallow sandy,PG,BOER4,1
20,Deep sand,Sandy,Shallow sandy,"BOER4,NA,NA",1,Shallow sandy,PG,BOER4,1
20,Deep sand,Sandy,Shallow sandy,"BOER4,PRGL2,PG",1,Shallow sandy,PG,BOER4,1
20,Deep sand,Sandy,Shallow sandy,"BOER4,GUSA2,SPFL2",1,Sandy,PG,BOER4,1
20,Deep sand,Sandy,Shallow sandy,"BOER4,PRGL2,EPHEDRA",1,Sandy,PG,BOER4,1
20,Deep sand,Sandy,Shallow sandy,"BOER4,PRGL2,NA",1,Sandy,PG,BOER4,1
20,Deep sand,Sandy,Shallow sandy,"BOER4,SPFL2,SPCO4",1,Sandy,PG,BOER4,1
20,Deep sand,Sandy,Shallow sandy,"BOER4,PRGL2,GUSA2",1,Shallow sandy,PG,BOER4,1
20,Deep sand,Sandy,Shallow sandy,"BOER4,PRGL2,NA",1,Shallow sandy,PG,BOER4,1
20,Deep sand,Sandy,Shallow sandy,"BOER4,PRGL2,SPFL2",1,Shallow sandy,PG,BOER4,1
20,Deep sand,Sandy,Shallow sandy,"BOER4,GUSA2,SPFL2",2,Sandy,PG,BOER4,1
20,Deep sand,Sandy,Shallow sandy,"BOER4,PRGL2,NA",2,Sandy,PG,BOER4,1
20,Deep sand,Sandy,Shallow sandy,"BOER4,PRGL2,NA",2,Shallow sandy,PG,BOER4,1
20,Deep sand,Sandy,Shallow sandy,"BOER4,PRGL2,EPHEDRA",2,Sandy,PG,BOER4,1
20,Deep sand,Sandy,Shallow sandy,"BOER4,PRGL2,SPCO4",2,Sandy,PG,BOER4,1
20,Deep sand,Sandy,Shallow sandy,"BOER4,PRGL2,SPFL2",2,Sandy,PG,BOER4,1
20,Deep sand,Sandy,Shallow sandy,"BOER4,PRGL2,SPORO",2,Sandy,PG,BOER4,1
20,Deep sand,Sandy,Shallow sandy,"BOER4,PRGL2,YUEL",2,Sandy,PG,BOER4,1
20,Deep sand,Sandy,Shallow sandy,"BOER4,SPFL2,PRGL2",2,Sandy,PG,BOER4,1
20,Deep sand,Sandy,Shallow sandy,"BOER4,SPFL2,SPCO4",2,Sandy,PG,BOER4,1
20,Deep sand,Sandy,Shallow sandy,"BOER4,SPFL2,YUEL",2,Sandy,PG,BOER4,1
20,Deep sand,Sandy,Shallow sandy,"BOER4,ARPU9,YUEL",2,Shallow sandy,PG,BOER4,1
20,Deep sand,Sandy,Shallow sandy,"BOER4,NA,NA",2,Shallow sandy,PG,BOER4,1
20,Deep sand,Sandy,Shallow sandy,"BOER4,PRGL2,GUSA2",2,Shallow sandy,PG,BOER4,1
20,Deep sand,Sandy,Shallow sandy,"BOER4,PRGL2,PG",2,Shallow sandy,PG,BOER4,1
20,Deep sand,Sandy,Shallow sandy,"BOER4,PRGL2,SPFL2",2,Shallow sandy,PG,BOER4,1
20,Deep sand,Sandy,Shallow sandy,"BOER4,PRGL2",4,Sandy,PG,BOER4,1
20,Deep sand,Sandy,Shallow sandy,"BOER4,PRGL2,EPHEDRA",4,Sandy,PG,BOER4,1
20,Deep sand,Sandy,Shallow sandy,"BOER4,PRGL2,SPFL2",4,Sandy,PG,BOER4,1
20,Deep sand,Sandy,Shallow sandy,"BOER4,PRGL2,SPORO",4,Sandy,PG,BOER4,1
20,Deep sand,Sandy,Shallow sandy,"BOER4,SPFL2,SPCO4",4,Sandy,PG,BOER4,1
20,Deep sand,Sandy,Shallow sandy,"BOER4,PRGL2,GUSA2",4,Shallow sandy,PG,BOER4,1
20,Deep sand,Sandy,Shallow sandy,"BOER4,PRGL2,SPFL2",4,Shallow sandy,PG,BOER4,1
20,Deep sand,Sandy,Shallow sandy,"BOER4,PRGL2,NA",4,Sandy,PG,BOER4,1
20,Deep sand,Sandy,Shallow sandy,"BOER4,PRGL2,NA",4,Shallow sandy,PG,BOER4,1
20,Deep sand,Sandy,Shallow sandy,"BOER4,GUSA2,SPFL2",4,Sandy,PG,BOER4,1
20,Deep sand,Sandy,Shallow sandy,"BOER4,PRGL2,SPCO4",4,Sandy,PG,BOER4,1
20,Deep sand,Sandy,Shallow sandy,"BOER4,PRGL2,YUEL",4,Sandy,PG,BOER4,1
20,Deep sand,Sandy,Shallow sandy,"BOER4,SPFL2,PRGL2",4,Sandy,PG,BOER4,1
