"FID","OBJECTID1998","VegUnite","ecosite1","GeneralizedStateNumber"
36,37,"PLMU3,SCBR2,FLCE","Clayey",2
37,38,"PLMU3,SCBR2,PRGL2","Clayey",4
40,41,"PRGL2,PLMU3,SCBR2","Clayey",4
132,133,"LATR2,FLCE,MUPO2","Gravelly",5
136,137,"LATR2,FLCE,MUPO2","Gravelly",5
176,177,"BOER4,SPFL2,PRGL2","Sandy",1
207,208,"PRGL2,SPFL2,YUEL","Sandy",2
224,225,"PRGL2,GUSA2,YUEL","Sandy",2
231,232,"PRGL2,SPFL2,YUEL","Sandy",2
251,252,"SPFL2,GUSA2,PRGL2","Sandy",2
256,257,"BOER4,PRGL2,YUEL","Sandy",1
257,258,"BOER4,SPFL2,PRGL2","Sandy",1
266,267,"PRGL2,SPFL2,YUEL","Sandy",2
276,277,"PRGL2,GUSA2,YUEL","Sandy",2
279,280,"SPFL2,GUSA2,PRGL2","Sandy",2
296,297,"PLMU3,SCBR2,PRGL2","Sandy",4
320,321,"PLMU3,SCBR2,FLCE","Sandy",2
340,341,"PRGL2,SPFL2,YUEL","Sandy",2
353,354,"PRGL2,FLCE,LATR2","Sandy",4
358,359,"PRGL2,SPFL2,YUEL","Sandy",2
386,387,"SPFL2,GUSA2,PRGL2","Sandy",2
389,390,"BOER4,ARPU9,YUEL","Sandy",1
390,391,"BOER4,PRGL2,YUEL","Sandy",1
392,393,"BOER4,SPFL2,PRGL2","Sandy",1
416,417,"BOER4,PRGL2,YUEL","Shallow sandy",1
417,418,"BOER4,SPFL2,PRGL2","Shallow sandy",1
422,423,"PRGL2,SPFL2,YUEL","Shallow sandy",2
430,431,"PRGL2,SPFL2,YUEL","Shallow sandy",2
