OBJECTID1998,ecosite1,ecosite2,ecosite3,SP1998,FG1998,FG_GSName,FG_GSNum,SPTally,GeneralizedStateNum,GeneralizedStateName,VegUnite,SiteName,Site
120,Gravelly,Loamy, ,"FLCE,LATR2,PLMU3","shrub,shrub,PG",ShrubDominated,5,2,5,ShrubDominated,"LATR2,FLCE,BOER4",Gravelly,R042XB010NM
123,Gravelly,Loamy, ,"LATR2,COWA,MUPO2","shrub,shrub,PG",ShrubDominated,5,1,5,ShrubDominated,"LATR2,FLCE,BOER4",Gravelly,R042XB010NM
124,Gravelly,Loamy, ,"LATR2,FLCE,PLMU3","shrub,shrub,PG",ShrubDominated,5,2,5,ShrubDominated,"LATR2,FLCE,BOER4",Gravelly,R042XB010NM
129,Gravelly,Loamy, ,"LATR2,SCBR2, ","shrub,PG",ShrubDominated,5,1,5,ShrubDominated,"LATR2,FLCE,BOER4",Gravelly,R042XB010NM
131,Gravelly,No ecosite, ,"LATR2,FLCE,PLMU3","shrub,shrub,PG",ShrubDominated,5,2,5,ShrubDominated,"LATR2,FLCE,BOER4",Gravelly,R042XB010NM
133,Gravelly,Shallow sandy, ,"LATR2,FLCE,MUPO2","shrub,shrub,PG",ShrubDominated,5,2,5,ShrubDominated,"LATR2,FLCE,BOER4",Gravelly,R042XB010NM
134,Gravelly,Shallow sandy, ,"LATR2,FLCE,PLMU3","shrub,shrub,PG",ShrubDominated,5,2,5,ShrubDominated,"LATR2,FLCE,BOER4",Gravelly,R042XB010NM
136,Gravelly,Shallow sandy, ,"FLCE,LATR2,PLMU3","shrub,shrub,PG",ShrubDominated,5,2,5,ShrubDominated,"LATR2,FLCE,BOER4",Gravelly,R042XB010NM
137,Gravelly,Shallow sandy, ,"LATR2,FLCE,MUPO2","shrub,shrub,PG",ShrubDominated,5,2,5,ShrubDominated,"LATR2,FLCE,BOER4",Gravelly,R042XB010NM
138,Gravelly,Shallow sandy, ,"LATR2,FLCE,PLMU3","shrub,shrub,PG",ShrubDominated,5,2,5,ShrubDominated,"LATR2,FLCE,BOER4",Gravelly,R042XB010NM
116,Gravelly, , ,"LATR2,PRGL2,FLCE","shrub,shrub,shrub",Shrubland,6,1,6,Shrubland,"LATR2,MUPO2",Gravelly,R042XB010NM
121,Gravelly,Loamy, ,"FLCE,LATR2,PRGL2","shrub,shrub,shrub",Shrubland,6,1,6,Shrubland,"LATR2,MUPO2",Gravelly,R042XB010NM
126,Gravelly,Loamy, ,"LATR2,PLMU3,SCBR2","shrub,PG,PG",Shrubland,6,1,6,Shrubland,"LATR2,MUPO2",Gravelly,R042XB010NM
127,Gravelly,Loamy, ,"LATR2,PRGL2,COWA","shrub,shrub,shrub",Shrubland,6,1,6,Shrubland,"LATR2,MUPO2",Gravelly,R042XB010NM
128,Gravelly,Loamy, ,"LATR2,PRGL2,FLCE","shrub,shrub,shrub",Shrubland,6,1,6,Shrubland,"LATR2,MUPO2",Gravelly,R042XB010NM
129,Gravelly,Loamy, ,"LATR2,SCBR2, ","shrub,PG",Shrubland,6,1,6,Shrubland,"LATR2,MUPO2",Gravelly,R042XB010NM
132,Gravelly,No ecosite, ,"LATR2,PRGL2,FLCE","shrub,shrub,shrub",Shrubland,6,1,6,Shrubland,"LATR2,MUPO2",Gravelly,R042XB010NM
135,Gravelly,Shallow sandy, ,"FLCE,LATR2,LYBE","shrub,shrub,shrub",Shrubland,6,1,6,Shrubland,"LATR2,MUPO2",Gravelly,R042XB010NM
139,Gravelly,Shallow sandy, ,"LATR2,FLCE,PRGL2","shrub,shrub,shrub",Shrubland,6,1,6,Shrubland,"LATR2,MUPO2",Gravelly,R042XB010NM
140,Gravelly,Shallow sandy, ,"LATR2,PRGL2,FLCE","shrub,shrub,shrub",Shrubland,6,1,6,Shrubland,"LATR2,MUPO2",Gravelly,R042XB010NM
116,Gravelly, , ,"LATR2,PRGL2,FLCE","shrub,shrub,shrub",Shrubland,6,1,6,Shrubland,LATR2,Gravelly,R042XB010NM
121,Gravelly,Loamy, ,"FLCE,LATR2,PRGL2","shrub,shrub,shrub",Shrubland,6,1,6,Shrubland,LATR2,Gravelly,R042XB010NM
126,Gravelly,Loamy, ,"LATR2,PLMU3,SCBR2","shrub,PG,PG",Shrubland,6,1,6,Shrubland,LATR2,Gravelly,R042XB010NM
127,Gravelly,Loamy, ,"LATR2,PRGL2,COWA","shrub,shrub,shrub",Shrubland,6,1,6,Shrubland,LATR2,Gravelly,R042XB010NM
128,Gravelly,Loamy, ,"LATR2,PRGL2,FLCE","shrub,shrub,shrub",Shrubland,6,1,6,Shrubland,LATR2,Gravelly,R042XB010NM
129,Gravelly,Loamy, ,"LATR2,SCBR2, ","shrub,PG",Shrubland,6,1,6,Shrubland,LATR2,Gravelly,R042XB010NM
132,Gravelly,No ecosite, ,"LATR2,PRGL2,FLCE","shrub,shrub,shrub",Shrubland,6,1,6,Shrubland,LATR2,Gravelly,R042XB010NM
135,Gravelly,Shallow sandy, ,"FLCE,LATR2,LYBE","shrub,shrub,shrub",Shrubland,6,1,6,Shrubland,LATR2,Gravelly,R042XB010NM
139,Gravelly,Shallow sandy, ,"LATR2,FLCE,PRGL2","shrub,shrub,shrub",Shrubland,6,1,6,Shrubland,LATR2,Gravelly,R042XB010NM
140,Gravelly,Shallow sandy, ,"LATR2,PRGL2,FLCE","shrub,shrub,shrub",Shrubland,6,1,6,Shrubland,LATR2,Gravelly,R042XB010NM
241,Sandy,Deep sand, ,"SCBR2,BOER4,ARPU9","PG,PG,PG",Grassland,1,1,1,Grassland,"BOER4,SPORO,MUPO2",Sandy,R042XB012NM
300,Sandy,Loamy,Deep sand,"BOER4,ARPU9,SPFL2","PG,PG,PG",Grassland,1,1,1,Grassland,"BOER4,SPORO,MUPO2",Sandy,R042XB012NM
367,Sandy,Loamy,Deep sand,"SCBR2,BOER4, ","PG,PG",Grassland,1,1,1,Grassland,"BOER4,SPORO,MUPO2",Sandy,R042XB012NM
368,Sandy,Loamy,Deep sand,"SCBR2,BOER4,ARPU9","PG,PG,PG",Grassland,1,1,1,Grassland,"BOER4,SPORO,MUPO2",Sandy,R042XB012NM
369,Sandy,Loamy,Deep sand,"SCBR2,BOER4,PLMU3","PG,PG,PG",Grassland,1,1,1,Grassland,"BOER4,SPORO,MUPO2",Sandy,R042XB012NM
66,Deep sand,Sandy,Shallow sandy,"LATR2,FLCE,PRGL2","shrub,shrub,shrub",ShrubInvadedGrassland,4,1,4,ShrubInvadedGrassland,"BOER4,PRGL2",Sandy,R042XB012NM
69,Deep sand,Sandy,Shallow sandy,"LATR2,PRGL2,FLCE","shrub,shrub,shrub",ShrubInvadedGrassland,4,1,4,ShrubInvadedGrassland,"BOER4,PRGL2",Sandy,R042XB012NM
71,Deep sand,Sandy,Shallow sandy,"LATR2,PRGL2,FLCE","shrub,shrub,shrub",ShrubInvadedGrassland,4,1,4,ShrubInvadedGrassland,"BOER4,PRGL2",Sandy,R042XB012NM
74,Deep sand,Sandy,Shallow sandy,"PRGL2,ARFI2,ATCA2","shrub,shrub,shrub",ShrubInvadedGrassland,4,1,4,ShrubInvadedGrassland,"BOER4,PRGL2",Sandy,R042XB012NM
75,Deep sand,Sandy,Shallow sandy,"PRGL2,ARFI2,QUERCUS","shrub,shrub,shrub",ShrubInvadedGrassland,4,1,4,ShrubInvadedGrassland,"BOER4,PRGL2",Sandy,R042XB012NM
78,Deep sand,Sandy,Shallow sandy,"PRGL2,FLCE,LATR2","shrub,shrub,shrub",ShrubInvadedGrassland,4,1,4,ShrubInvadedGrassland,"BOER4,PRGL2",Sandy,R042XB012NM
80,Deep sand,Sandy,Shallow sandy,"PRGL2,LATR2,FLCE","shrub,shrub,shrub",ShrubInvadedGrassland,4,1,4,ShrubInvadedGrassland,"BOER4,PRGL2",Sandy,R042XB012NM
