Code,Species,CommonName,FG
 ,,,
     ,,,
<Null>,,,
ACBR,NA,NA,NA
AG,NA,annual grasses,annual
ANHA,Andropogon hallii,sand bluestem,PG
annuals,NA,NA,annual
ARFI2,Artemisia filifolia,sand sage,shrub
ARIST,Aristida,aristida grasses,PG
Aristida spp.,Aristida,aristida grasses,PG
ARPU9,Aristida,aristida grasses,PG
ATCA2,Atriplex canescens,saltbush,shrub
ATCA2,Atriplex canescens,saltbush,shrub
ATR12,NA,NA,NA
Bare,NA,NA,bare
BOBA3,Bothriochloa barbinodis,cane bluestem,PG
BOCU,Bouteloua curtipendula,sideoats grama,PG
BOER4,Bouteloua eriopoda,black grama,PG
BOGR2,Bouteloua gracilis,blue grama,PG
CYIMI,Cylindropuntia imbricata,tree cholla,succ
DAPU7,Dasychloa pulchella ,fluffgrass/low woollygrass,PG
ENDE,Enneapogon desvauxii,nineawn pappusgrass,PG
EPHEDRA,Ephedra,ephedra,succ
EPHspp,Ephedra,ephedra,succ
ERLE,Eragrostis lehmanniana,Lehmann lovegrass,Inv
FLCE,Flourensia cernua,tarbush,shrub
FOSP2,Fouquieria splendens,ocotillo,succ
GUSA2,Gutierrezia sarothrae,broom snakeweed,subshrub
HIMU,Pleuraphis mutica,tobosa,PG
HOFFspp,Hoffmannseggia,rushpea,NA
KOSP,Koeberlinia spinosa,crown of thorns,shrub
LACO,NA,NA,NA
LATR2,Larrea tridetata,creosote,shrub
LYBE,Lycium berlandieri,wolfberry,shrub
MUAR,Muhlenbergia arenacea,ear muhly,PG
MUPO2,Muhlenbergia porteri,bush muhly,PG
NA,NA,NA,NA
NO GRASS,NA,NA,bare
NOMI,Nolina microcarpa,sacahuista,succulent
OPUNT,Opuntia,prickly pear,succulent
Other grasses,NA,NA,PG
Other shrubs,NA,NA,shrub
PAIN2,Parthenium incancum,mariola,shrub
PF,NA,NA,forb
PG,NA,NA,PG
PLMU3,Pleuraphis mutica,tobosa,PG
PRGL2,Prosopis glandulosa,mesquite,shrub
PRGL2,Prosopis glandulosa,mesquite,shrub
PRGL2,Prosopis glandulosa,mesquite,shrub
PSSC6,Psorothamnus scoparius,broom dalea,shrub
QUHA3,Quercus havardii,Havard oak,shrub
RHMI3,Rhus microphylla,littleleaf sumac,shrub
SCBR2,Scleropogon brevifolius,burrograss,PG
SCBR2,Scleropogon brevifolius,burrograss,PG
SELE6,Setaria leucopila,streambed bristlegrass,PG
SPAI,Sporobolus airoides,alkali sacaton,PG
SPCO4,Sporobolus contractus,spike dropseed,PG
SPFL2,Sporobolus flexuosus,mesa dropseed,PG
SPGI,Sporobolus giganteus,giant dropseed,PG
SPORO,Sporobolus,sporobolus,PG
Sporobolus spp.,Sporobolus,sporobolus,PG
SPORspp,Sporobolus,sporobolus,PG
SPWR2,Sporobolus wrightii,giant sacaton,PG
VACO,NA,NA,NA
YUCCA,Yucca,yucca,succulent
YUEL,Yucca,yucca,succulent
YUGL,Yucca,yucca,succulent
