"GeneralizedStateNumber","VegUnite"
1,"BOER4"
1,"BOER4,PLMU3,ARIST"
1,"BOER4,SPORO,MUPO2"
1,"PLMU3"
1,"PLMU3,SPAI,BOGR2"
1,"SPAI,SPWR2,PAOB"
2,"annuals"
2,"annuals,SPWR2,PLMU3"
2,"ARIST,SPORO,BOER4"
2,"ARIST,SPORO,GUSA2"
2,"PLMU3,SCBR2,SPAI"
2,"SCBR2"
2,"SCBR2,PLMU3"
2,"SCBR2,PLMU3,ARIST"
2,"BOBA3,ARIST,SPORO"
3,"ANHA,SPGI,SPCO4"
3,"BOER4,LATR2,MUPO2"
3,"BOER4,MUPO2,BOCU"
3,"SPAI,SPWR2,BOER4"
4,"BOER4,PRGL2"
4,"PLMU3,SCBR2,PRGL2"
4,"PRGL2,FLCE,LATR2"
4,"PRGL2,PLMU3"
4,"PRGL2,PLMU3,SCBR2"
4,"PRGL2,SPORO,ARIST"
4,"SPORO,ARIST,PRGL2"
5,"LATR2,FLCE,BOER4"
5,"PSSC2,ARFI2,SPORO"
6,"FLCE,LATR2,PRGL2"
6,"LATR2"
6,"LATR2,MUPO2"
6,"PRGL2"
6,"PRGL2 ,PLMU3,SCBR2"
6,"PRGL2,FLCE,LATR2"
6,"PRGL2,MUPO2,ARIST"
6,"PRGL2,RHMI3"
6,"PRGL2,SCBR2"
6,"QUHA3,ARFI2"
6,"succulent,GUSA2,DAPU7"
7,""
9,"ERLE"
1,"BOER4,ARPU9,YUEL"
1,"BOER4,NA,NA"
1,"BOER4,PRGL2,PG"
1,"BOER4,PRGL2,SPCO4"
1,"BOER4,PRGL2,SPFL2"
1,"BOER4,PRGL2,SPORO"
1,"BOER4,PRGL2,YUEL"
1,"BOER4,SPFL2,PRGL2"
1,"BOER4,SPFL2,YUEL"
1,"NA,     ,NA"
1,"NA,NA,PRGL2"
1,"PG,PRGL2,NA"
1,"PLMU3,CYIMI,NA"
1,"PLMU3,CYIMI,PRGL2"
1,"PLMU3,FLCE,PRGL2"
1,"PLMU3,NA,NA"
1,"PLMU3,PRGL2,NA"
2,"AG,ARPU9,PRGL2"
2,"AG,SPFL2,PRGL2"
2,"annuals,YUEL,PRGL2"
2,"ARPU9,EPHEDRA,PRGL2"
2,"BOER4,GUSA2,SPFL2"
2,"BOER4,PRGL2,NA"
2,"NA,ATR12,NA"
2,"NA,EPHEDRA,NA"
2,"NA,NA,GUSA2"
2,"NA,NA,LACO13"
2,"PLMU3,,NA"
2,"PLMU3,EPHEDRA,NA"
2,"PLMU3,SCBR2,FLCE"
2,"PRGL2,BOER4,PF"
2,"PRGL2,GUSA2,BOER4"
2,"PRGL2,NA,NA"
2,"PRGL2,SPFL2,"
2,"PRGL2,SPFL2,MUPO2"
2,"PRGL2,SPFL2,NA"
2,"PRGL2,SPORO,NA"
2,"SCBR2,FLCE,KOSP"
2,"SCBR2,FLCE,PLMU3"
2,"SCBR2,NA,NA"
2,"SCBR2,PLMU3,FLCE"
2,"SCBR2,PLMU3,NA"
2,"SCBR2,PLMU3,PRGL2"
2,"SCBR2,PRGL2,EPHEDRA"
2,"SCBR2,PRGL2,NA"
2,"SPFL2,,NA"
2,"SPFL2,ARPU9,NA"
2,"SPFL2,CYIMI,"
2,"SPFL2,GUSA2,PRGL2"
2,"SPFL2,PRGL2,SELE6"
2,"SPFL2,PRGL2,YUEL"
2,"SPORO,EPHEDRA,NA"
2,"SPORO,EPHEDRA,PRGL2"
4,"BOER4,PRGL2,EPHEDRA"
4,"BOER4,PRGL2,GUSA2"
4,"BOER4,PRGL2,SPFL2"
4,"BOER4,PRGL2,SPORO"
4,"BOER4,SPFL2,SPCO4"
4,"FLCE,LYBE,SCBR2"
4,"FLCE,MUPO2,SCBR2"
4,"LATR2,MUPO2,PLMU3"
4,"MUPO2,PRGL2,DAPU7"
4,"MUPO2,SPFL2,PRGL2"
4,"NA,NA,PRGL2"
4,"NA,SPORO,NA"
4,"PG,PRGL2,NA"
4,"PLMU3,FLCE,ATCA2"
4,"PLMU3,FLCE,LATR2"
