SiteType,FG,GSC
1,"PG, subshrub, PG","1, 2"
1,"PG, subshrub, NA","1, 2"
1,"PG, NA, PG","1, 2"
1,"PG, NA, NA","1, 2"
1,"PG, PG, SH","1, 2"
1,"PG, PG, subshrub","1, 2"
1,"PG, PG, succulent","1, 2"
1,"PG, subshrub, SH","1, 2, 4"
1,"PG, subshrub, subshrub","1, 2, 4"
1,"PG, subshrub, succulent","1, 2, 4"
1,"PG, NA, SH","1, 2, 4"
1,"PG, NA, subshrub","1, 2, 4"
1,"PG, NA, succulent","1, 2, 4"
1,"PG, SH, PG",4
1,"PG, SH, SH",4
1,"PG, SH, subshrub",4
1,"PG, SH, NA",4
1,"PG, SH, succulent",4
1,"PG, succulent, PG",4
1,"PG, succulent, SH",4
1,"PG, succulent, subshrub",4
1,"PG, succulent, NA",4
1,"PG, succulent, succulent",4
1,"SH, PG, PG",4
1,"SH, PG, SH",4
1,"SH, PG, subshrub",4
1,"SH, PG, succulent",4
1,"SH, PG, NA",4
1,"subshrub, PG, PG",4
1,"subshrub, PG, SH",4
1,"subshrub, PG, subshrub",4
1,"subshrub, PG, succulent",4
1,"subshrub, PG, NA",4
1,"succulent, PG, PG",4
1,"succulent, PG, SH",4
1,"succulent, PG, subshrub",4
1,"succulent, PG, succulent",4
1,"succulent, PG, NA",4
1,,
