Site,Species,FG,GSC
Bottomland,SPAI,"PG,PG",1
Bottomland,SPWR2,"PG,PG",1
Bottomland,PLMU3,"PG,PG",2
Bottomland,SCBR2,"PG,PG",2
Bottomland,PRGL2,"SH,PG",4
Bottomland,FLCE,"SH,PG",4
Bottomland,PRGL2,SH,6
Bottomland,FLCE,SH,6
Bottomland,bare,NA,7
Clayey,PLMU3,"PG,PG",1
Clayey,SCBR2,"PG,PG",2
Clayey,PRGL2,SH,4
Clayey,FLCE,SH,4
Clayey,LATR2,SH,4
Clayey,PRGL2,SH,6
Clayey,FLCE,SH,6
Clayey,LATR2,SH,6
Clayey,bare,NA,7
Deep Sand,SPAI,"PG,PG",3
Deep Sand,SPWR2,"PG,PG",3
Deep Sand,PSSC2,SH,5
Deep Sand,ARFI2,SH,5
Deep Sand,PRGL2,SH,6
Deep Sand,RHMI3,SH,6
Draw,PLMU3,"PG,PG",1
Draw,SPAI,"PG,PG",1
Draw,BOGR2,"PG,PG",1
Draw,BOCU,"PG,PG",1
Draw,PRGL2,"SH,PG",4
Draw,SCBR2,"PG,PG",2
Draw,PRGL2,SH,6
Gravelly,BOER4,"PG,SH",3
Gravelly,LATR2,"SH,PG",3
Gravelly,LATR2,SH,5
Gravelly,FLCE,SH,5
Gravelly,LATR2,SH,6
Gravelly,FLCE,SH,6
Gravelly,bare,NA,7
Limestone Hills,BOER4,"PG,SH",3
Limestone Hills,MUPO2,"PG,SH",3
Limestone Hills,succulent,SH,6
Loamy,BOER4,"PG,PG",1
Loamy,PLMU3,"PG,PG",1
Loamy,ARIST,"PG,PG",1
Loamy,SCBR2,"PG,PG",2
Loamy,PRGL2,SH,4
Loamy,FLCE,SH,4
Loamy,PRGL2,SH,6
Loamy,FLCE,SH,6
Sandhills,ANHA,PG,3
Sandhills,SPORO,PG,3
Sandhills,QUHA3,SH,6
Sandhills,ARFI2,SH,6
Sandy,BOER4,PG,1
Sandy,PRGL2,SH,4
Sandy,BOER4,"PG,SH",4
Sandy,PRGL2,SH,6
Sandy,ERLE,PG,9
