OBJECTID,FID_JERVeg,VegUnite,ecosite1,ecosite2,ecosite3,StateNumber,StateName,GeneralizedStateNumber,FinalEcosite,GeneralizedStateName
36,22,"FLCE,LATR2,BOER4",Bottomland,Shallow sandy, ,2,Shrub-invadedGrassland,4,,ShrubInvadedGrassland
115,54,"PLMU3,FLCE,LATR2",Bottomland,NA,NA,2,Shrub-invadedGrassland,4,Clayey,ShrubInvadedGrassland
152,70,"PRGL2,GUSA2,BOER4",Bottomland,NA,NA,2,Shrub-invadedGrassland,4,Bottomland,ShrubInvadedGrassland
26,16,"BOER4,PRGL2,YUEL",Clayey,Shallow sandy, ,4,MesquiteInvaded,4,Shallow sandy,ShrubInvadedGrassland
33,20,"EPHspp,PLMU3,GUSA2",Clayey,No ecosite, ,3,MixedShrub-Grassland,4,Clayey,ShrubInvadedGrassland
79,38,"GUSA2,PRGL2,PSSC6",Clayey,Deep sand, ,4,Tarbush/CreosotebushShrubland,6,,Shrubland
87,43,"HOFF spp.,Bare,",Clayey,Loamy,Clayey,5,Non-Vegetated,7,Clayey,Bare
143,67,"PRGL2,GUSA2,",Clayey,NA,NA,4,Tarbush/CreosotebushShrubland,6,Clayey,Shrubland
1,1,"ARFI2,GUSA2,",Deep sand, , ,2,BroomDalea-SandsageState,5,Deep sand,ShrubDominated
4,3,"ARIST,BOER4,SPORO",Deep sand,Limy,Salt Flats,1,Dropseed-dominatedState,3,Deep sand,ShrubSavanna
7,4,"ARIST,BOER4,YUEL",Deep sand,Limy,Salt Flats,1,Dropseed-dominatedState,3,Deep sand,ShrubSavanna
27,16,"BOER4,PRGL2,YUEL",Deep sand,Shallow sandy,Deep sand,1,Dropseed-dominatedState,3,Deep sand,ShrubSavanna
45,24,"FLCE,LATR2,PRGL2",Deep sand,No ecosite, ,3,MesquiteDuneState,6,,Shrubland
51,25,"FLCE,LATR2,SCBR2",Deep sand,Shallow sandy, ,1,Dropseed-dominatedState,3,,ShrubSavanna
57,27,"FLCE,PRGL2,SCBR2",Deep sand,No ecosite, ,1,Dropseed-dominatedState,3,,ShrubSavanna
71,35,"GUSA2,PRGL2,",Deep sand,Deep sand, ,3,MesquiteDuneState,6,Deep sand,Shrubland
73,36,"GUSA2,PRGL2,ARIST",Deep sand,Deep sand, ,1,Dropseed-dominatedState,3,Deep sand,ShrubSavanna
76,37,"GUSA2,PRGL2,BOER4",Deep sand,Deep sand, ,1,Dropseed-dominatedState,3,Deep sand,ShrubSavanna
80,38,"GUSA2,PRGL2,PSSC6",Deep sand,Deep sand, ,3,MesquiteDuneState,6,Deep sand,Shrubland
