"","FID","OBJECTID","ecosite1","ecosite2","ecosite3","VegUnite","esite1type","esite2type","esite3type"
"1",0,1," "," "," ","DAFO,LATR2,COWA",NA,NA,NA
"2",1,2,"Bottomland","Limy","Salt Flats","ATCA2,PRGL2,PLMU3",1,1,1
"3",2,3,"Bottomland","Limy","Salt Flats","Bare, , ",1,1,1
"23",22,23,"Clayey","Bottomland","Loamy","Bare, , ",1,1,1
"29",28,29,"Clayey","Bottomland","Loamy","GUSA2,BOER4,YUEL",1,1,1
"51",50,51,"Clayey","Bottomland","Loamy","PSSC6,YUEL,SPFL2",1,1,1
"60",59,60,"Deep sand","Sandy","Shallow sandy","ARFI2,PRGL2,ARPU9",2,1,1
"61",60,61,"Deep sand","Sandy","Shallow sandy","DAFO,LATR2,COWA",2,1,1
"62",61,62,"Deep sand","Sandy","Shallow sandy","DAFO,LATR2,PAIN2",2,1,1
"63",62,63,"Deep sand","Sandy","Shallow sandy","DAFO,PAIN2,LATR2",2,1,1
"85",84,85,"Deep sand","Shallow sandy"," ","GUSA2,PRGL2,YUEL",2,1,NA
"92",91,92,"Deep sand","Shallow sandy"," ","YUEL,PRGL2, ",2,1,NA
"94",93,94,"Deep sand","Shallow sandy","Shallow sandy","GUSA2,PRGL2,YUEL",2,1,1
"98",97,98,"Deep sand","Shallow sandy","Shallow sandy","YUEL,PRGL2, ",2,1,1
"99",98,99,"Draw","No ecosite"," ","ARFI2,PRGL2,ARPU9",1,NA,NA
"100",99,100,"Draw","No ecosite"," ","DAFO,PAIN2,LATR2",1,NA,NA
"142",141,142,"Limestone hills","No ecosite"," ","ARFI2,PRGL2,ARPU9",2,NA,NA
"143",142,143,"Limestone hills","No ecosite"," ","DAFO,LATR2,COWA",2,NA,NA
"144",143,144,"Limestone hills","No ecosite"," ","DAFO,LATR2,PAIN2",2,NA,NA
"145",144,145,"Limestone hills","No ecosite"," ","DAFO,PAIN2,LATR2",2,NA,NA
"174",173,174,"Sandy","Deep sand"," ","ATCA2,FLCE,PRGL2",1,2,NA
"178",177,178,"Sandy","Deep sand"," ","EPHEDRA,PRGL2,YUEL",1,2,NA
"179",178,179,"Sandy","Deep sand"," ","EPHEDRA,PRGL2,YUEL",1,2,NA
"184",183,184,"Sandy","Deep sand"," ","GUSA2,BOER4,YUEL",1,2,NA
"185",184,185,"Sandy","Deep sand"," ","GUSA2,SPFL2,PRGL2",1,2,NA
"238",237,238,"Sandy","Deep sand"," ","PSSC6,PRGL2,ARFI2",1,2,NA
"239",238,239,"Sandy","Deep sand"," ","PSSC6,PRGL2,GUSA2",1,2,NA
"240",239,240,"Sandy","Deep sand"," ","PSSC6,SPFL2,YUEL",1,2,NA
"254",253,254,"Sandy","Deep sand"," ","YUEL,PRGL2,GUSA2",1,2,NA
"255",254,255,"Sandy","Deep sand"," ","YUEL,PRGL2, ",1,2,NA
"281",280,281,"Sandy","Deep sand","Shallow sandy","YUEL,PRGL2,GUSA2",1,2,1
"282",281,282,"Sandy","Deep sand","Shallow sandy","YUEL,PRGL2, ",1,2,1
"299",298,299,"Sandy","Loamy","Deep sand","Bare, , ",1,1,2
"301",300,301,"Sandy","Loamy","Deep sand","EPHEDRA,YUEL,PRGL2",1,1,2
"302",301,302,"Sandy","Loamy","Deep sand","EPHEDRA,PRGL2,YUEL",1,1,2
"364",363,364,"Sandy","Loamy","Deep sand","PSSC6,SPFL2,YUEL",1,1,2
"365",364,365,"Sandy","Loamy","Deep sand","PSSC6,YUEL,SPFL2",1,1,2
"415",414,415,"Sandy","Shallow sandy"," ","YUEL,PRGL2, ",1,1,NA
